Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
UE Categories ≥ 3,,,,,,,,,
TDD,Table A.3.2-4,,1.4,64QAM,3/4,6,,-,
TDD,Table A.3.2-4,,3,64QAM,3/4,15,,-,
TDD,Table A.3.2-4,,5,64QAM,3/4,25,,-,
TDD,Table A.3.2-4,,10,64QAM,3/4,50,,-,
TDD,Table A.3.2-4,,15,64QAM,3/4,75,,-,
TDD,Table A.3.2-4,,20,64QAM,3/4,100,,-,
TDD Band 46,Table A.3.2-4d,,10,64QAM,3/4,50,,,
TDD Band 46,Table A.3.2-4d,,20,64QAM,3/4,100,,-,
UE Category 1,,,,,,,,,
TDD,Table A.3.2-4a,,1.4,64QAM,3/4,6,,-,
TDD,Table A.3.2-4a,,3,64QAM,3/4,15,,-,
TDD,Table A.3.2-4a,,5,64QAM,3/4,18,,-,
TDD,Table A.3.2-4a,,10,64QAM,3/4,17,,-,
TDD,Table A.3.2-4a,,15,64QAM,3/4,17,,-,
TDD,Table A.3.2-4a,,20,64QAM,3/4,17,,-,
UE Category 2,,,,,,,,,
TDD,Table A.3.2-4b,,1.4,64QAM,3/4,6,,-,
TDD,Table A.3.2-4b,,3,64QAM,3/4,15,,-,
TDD,Table A.3.2-4b,,5,64QAM,3/4,25,,-,
TDD,Table A.3.2-4b,,10,64QAM,3/4,50,,-,
TDD,Table A.3.2-4b,,15,64QAM,3/4,75,,-,
TDD,Table A.3.2-4b,,20,64QAM,3/4,83,,-,
UE DL Category 0,,,,,,,,,
TDD,Table A.3.2-4c,,1.4,64QAM,3/4,2,,-,
TDD,Table A.3.2-4c,,3,64QAM,3/4,2,,-,
TDD,Table A.3.2-4c,,5,64QAM,3/4,2,,-,
TDD,Table A.3.2-4c,,10,64QAM,3/4,2,,-,
TDD,Table A.3.2-4c,,15,64QAM,3/4,2,,-,
TDD,Table A.3.2-4c,,20,64QAM,3/4,2,,-,
UE Categories 11/12 and UE DL categories ≥ 11,,,,,,,,,
TDD,Table A.3.2-6,,1.4,256QAM,4/5,6,,-,
TDD,Table A.3.2-6,,3,256QAM,4/5,15,,-,
TDD,Table A.3.2-6,,5,256QAM,4/5,25,,-,
TDD,Table A.3.2-6,,10,256QAM,4/5,50,,-,
TDD,Table A.3.2-6,,15,256QAM,4/5,75,,-,
TDD,Table A.3.2-6,,20,256QAM,4/5,100,,-,
TDD Band 46,Table A.3.2-7,,20,256QAM,4/5,100,,-,
UE DL Category M1,,,,,,,,,
TDD,Table A.3.2-4e,,1.4,16QAM,3/5,2,,-,
TDD,Table A.3.2-4e,,3,16QAM,3/5,2,,-,
TDD,Table A.3.2-4e,,5,16QAM,3/5,2,,-,
TDD,Table A.3.2-4e,,10,16QAM,3/5,2,,-,
TDD,Table A.3.2-4e,,15,16QAM,3/5,2,,-,
TDD,Table A.3.2-4e,,20,16QAM,3/5,2,,-,
UE DL Category M2,,,,,,,,,
TDD,Table A.3.2-4f,,1.4,16QAM,3/5,2,,-,
TDD,Table A.3.2-4f,,3,16QAM,3/5,8,,-,
TDD,Table A.3.2-4f,,5,16QAM,1/2,15,,-,
TDD,Table A.3.2-4f,,10,16QAM,1/2,15,,-,
TDD,Table A.3.2-4f,,15,16QAM,1/2,15,,-,
TDD,Table A.3.2-4f,,20,16QAM,1/2,15,,-,
UE DL category 20 and UE DL categories ≥ 22,,,,,,,,,
TDD,Table A.3.2-9,,1.4,1024QAM,4/5,6,,-,
TDD,Table A.3.2-9,,3,1024QAM,4/5,15,,-,
TDD,Table A.3.2-9,,5,1024QAM,4/5,25,,-,
TDD,Table A.3.2-9,,10,1024QAM,4/5,50,,-,
TDD,Table A.3.2-9,,15,1024QAM,4/5,75,,-,
TDD,Table A.3.2-9,,20,1024QAM,4/5,100,,-,
TDD Band 46,Table A.3.2-10,,20,1024QAM,4/5,100,,-,
