Parameter,Unit,Value,,,
Reference channel,,R.90 TDD,R.91 TDD,R.92-1 TDD,R.92-2 TDD
Channel bandwidth,MHz,10,10,10,10
Allocated resource blocks,,18 (Note 9),18 (Note 9),36 (Note 10),36 (Note 10)
Uplink-Downlink Configuration (Note 3),,1,1,1,1
Allocated PDSCH subframes,,(Note 4),(Note 5),(Note 6),(Note 7)
Modulation,,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/10,1/2,1/2
Information Bit Payload,,,,,
"For Sub-Frames 0,4,5,9",Bits,1544,488,4392,4392
"For Sub-Frames 1,6",Bits,N/A,N/A,N/A,N/A
Number of Code Blocks,,,,,
"For Sub-Frames 0,4,5,9",Code blocks,1,1,1,1
"For Sub-Frames 1,6",Clode blocls,N/A,N/A,N/A,N/A
Binary Channel Bits,,,,,
"For Sub-Frames 0,4,5,9",Bits,4752,4752,9504,9504
"For Sub-Frames 1,6",,N/A,N/A,N/A,N/A
Max. Throughput averaged over one period,kbps,19.3,1.90625,137.25,219.6
UE DL Category,,M2,M2,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:MPDCCH are scheduled at the 0th to 15th BL/CE DL subframes with repetition every period=80ms. The associated PDSCH is scheduled at the 17th to 24th BL/CE DL subframes with repetition every period=80ms (starting from the 0th subframe).Note 5:MPDCCH are scheduled at the 0th to 31st BL/CE DL subframes with repetition every period= 256ms. The associated PDSCH is scheduled at the 33rd to 64th BL/CE DL subframes with repetition every period=256ms (starting from the 0th subframe).Note 6:MPDCCH are scheduled at the 0th to 3rd BL/CE DL subframes with repetition every period=32ms. The associated PDSCH is scheduled at the 5th to 8th BL/CE DL subframes with repetition every period=32ms (starting from the 0th subframe).Note 7:MPDCCH are scheduled at the 0th to 1st BL/CE DL subframes with repetition every period=20ms. The associated PDSCH is scheduled at the 2nd to 3rd BL/CE DL subframes with repetition every period=20ms (starting from the 0th subframe).Note 8:If it is not the BL/CE DL subframes, MPDCCH/PDSCH transmission is postponed until the next BL/CE DL subframe. Note the DL subframes in the TDD uplink-downlink configuration are considered as the BL/CE DL subframes.Note 9:Allocated PRB positions are {0, 1, …, 17} within the assigned wideband.Note 10:Allocated PRB positions are {1, 2, 3, …, 18, 31, 32, …, 48}.Note 11:Allocated PRB positions for MPDCCH are {0, 1, 2, 3, 4, 5} within the scheduled narrowband.",,,,,
