Parameter,Value,,,,,,
Sub-carrier spacing (kHz),3.75,3.75,15,15,15,15,15
Number of tone,1,1,1,1,3,6,12
Modulation,π/2 BPSK,π/4 QPSK,π/2 BPSK,π/4 QPSK,QPSK,QPSK,QPSK
Number of NPUSCH repetition (NOTE 5),1,1,1,1,1,1,1
IMCS / ITBS,0 / 0,3 / 3,0 / 0,3 / 3,5 / 5,5 / 5,5 / 5
Payload size (bits),32,40,32,40,72,72,72
Allocated resource unit,2,1,2,1,1,1,1
Code rate (target),1/3,1/3,1/3,1/3,1/3,1/3,1/3
Code rate (effective),0.29,0.33,0.29,0.33,0.33,0.33,0.33
Transport block CRC (bits),24,24,24,24,24,24,24
Code block CRC size (bits),0,0,0,0,0,0,0
Number of code blocks – C,1,1,1,1,1,1,1
Total number of bits per resource unit,96,192,96,192,288,288,288
Total symbols per resource unit,96,96,96,96,144,144,144
Tx time (ms),64,32,16,8,4,2,1
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 2:Parameters related to NPUSCH format 1 scheduling are defined in Table A.2.4-2.NOTE 3:NPDCCH is not transmitted in the subframes used for transmission of SI messages.NOTE 4:SI messages transmission should be prioritized over NPDCCH transmission in case of collision. NPDCCH transmission is postponed until the next NB-IoT downlink subframe in case NPDCCH transmission occurs in a non NB-IoT downlink subframe, where an NB-IoT downlink subframe is a subframe that does not contain NPSS/NSSS/NPBCH/SIB1-NB transmission.NOTE 5: Number of repetition NRep as defined in table 16.5.1.1-3 in TS 36.213 [6].",,,,,,,
