Parameter,Unit,
Reference channel,,R.sTTI.4 FDD
Channel bandwidth,MHz,10
Allocated resource blocks,,50
Allocated subframes per Radio Frame,,8
Modulation,,QPSK
Target Coding Rate,,1/3
Information Bit Payload,,
"For Sub-Frames 1,3,4,6,8,9",,
Subslot index 1,Bits,1736
Subslot index 2,Bits,1192
Subslot index 3,Bits,776
Subslot index 4,Bits,1192
Subslot index 5,Bits,1736
"For Sub-Frames 2,7",,
Subslot index 1,Bits,1736
Subslot index 2,Bits,1192
Subslot index 3,Bits,776
Subslot index 4,Bits,1192
Subslot index 5,Bits,1736
"For Sub-Frames 0,5",,N/A
Number of Code Blocks,,
"For Sub-Frames 1,3,4,6,8,9",,
Subslot index 1,,1
Subslot index 2,,1
Subslot index 3,,1
Subslot index 4,,1
Subslot index 5,,1
"For Sub-Frames 2,7",,
Subslot index 1,,1
Subslot index 2,,1
Subslot index 3,,1
Subslot index 4,,1
Subslot index 5,,1
"For Sub-Frame 0,5",,N/A
Binary Channel Bits,,
"For Sub-Frames 1,3,4,6,8,9",,
Subslot index 1,Bits,4960
Subslot index 2,Bits,4032
Subslot index 3,Bits,2688
Subslot index 4,Bits,4032
Subslot index 5,Bits,5088
"For Sub-Frames 2,7",,
Subslot index 1,Bits,4960
Subslot index 2,Bits,3696
Subslot index 3,Bits,2688
Subslot index 4,Bits,4032
Subslot index 5,Bits,5088
"For Sub-Frame 0,5",,N/A
Max. Throughput averaged over 1 frame,Mbps,5.3056
UE Category,,≥2
"Note 1:For an information bit payload first transmitted at subslot 1, any retransmission happens only on subslots 1 and 5. For an information bit payload first transmitted at subslot 2, any retransmission happens only on subslots 2 and 4. For an information bit payload first transmitted at subslot 3, any retransmission happens only on subslot 3. For an information bit payload first transmitted at subslot 4, any retransmission happens only on subslots 2 and 4. For an information bit payload first transmitted at subslot 5, any retransmission happens only on subslots 1 and 5.Note 2:In any retransmission, no information bit payloads are scheduled at subslot #n when information bit payloads are not scheduled at subslot #(n-1).",,
