Parameter,PMCH,,,,,,,,
,Unit,Value,,,,,,,
Reference channel,,R.106-1 FDD,R.106-2FDD,R.106-3 FDD,R.106-4 FDD,R.106-5 FDD,R.106-6FDD,R.106-7FDD,R.106-8FDD
Channel bandwidth,MHz,10,10,6,7,8,6,7,8
Allocated resource blocks,,50,50,30,35,40,30,35,40
Allocated slots per 40ms(Note1),,13,13,13,13,13,13,13,13
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,0.48,0.52,0.49,0.48,0.48,0.54,0.53,0.52
Information Bit Payload (Note 2),,,,,,,,,
For each slot,Bits,63776,63776,39232,45532,51024,39232,45532,51024
Number of Code Blocks per Sub-Frame (Note 3),,11,11,7,8,9,7,8,9
Binary Channel Bits Per Subframe,,,,,,,,,
For each slot,Bits,133650,121500,80190,93555,106920,72900,85050,97200
MBMS UE Category,,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2
"Note 1:First subframe of every 40ms is allocated for non-MBMS transmission.Note 2:Zero OFDM symbols are reserved for PDCCH; and no CRS allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,,,
