Parameter,Unit,Value,,
Reference channel,,R.47-1 TDD,R.47-2 TDD,R.47-3 TDD
Channel bandwidth,MHz,5,15,20
Allocated resource blocks,,25,75,100
Uplink-Downlink Configuration (Note 2),,1,1,1
Allocated number of PDCCH symbols in normal subframes,,2,2,2
Allocated number of PDCCH symbols in special subframes,,2,2,2
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2
Modulation,,16QAM,16QAM,16QAM
Target Coding Rate,,,,
"For Sub-Frames 4,9",,,,
"For Sub-Frames 1,6",,,,
Information Bit Payload (Note 4),,,,
"For Sub-Frames 4,9",Bits,4008,12960,17568
"For Sub-Frames 1,6",,3624,9912,15264
For Sub-Frame 5,Bits,N/A,N/A,N/A
For Sub-Frame 0,Bits,3496,12960,17568
Number of Code Blocks(Notes 3 and 4),,,,
"For Sub-Frames 4,9",,1,3,3
"For Sub-Frames 1,6",,1,2,3
For Sub-Frame 5,,N/A,N/A,N/A
For Sub-Frame 0,,2,3,3
Binary Channel Bits (Note 4),,,,
"For Sub-Frames 4,9",Bits,12000,39680,52800
"For Sub-Frames 1,6",,10512,32112,42912
For Sub-Frame 5,Bits,N/A,N/A,N/A
For Sub-Frame 0,Bits,10656,38256,51456
Max. Throughput averaged over 1 frame (Note 4),Mbps,1.876,5.874,8.3232
UE Category,,≥ 1,≥ 1,≥ 1
"Note 1:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 2:As per Table 4.2-2 in TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:Given per component carrier per codeword",,,,
