Parameter,Unit,Value,,,,
Reference channel,,R.52 FDD,R.52-1 FDD,R.53 FDD,R.54 FDD,R.97 FDD
Channel bandwidth,MHz,10,10,10,10,10
Allocated resource blocks,,50 (Note 3),50 (Note 3),50 (Note 3),50 (Note 3),50 (Note 3)
Allocated subframes per Radio Frame,,9,9,9,9,9
Modulation,,64QAM,16QAM,64QAM,16QAM,16QAM
Target Coding Rate,,1/2,0.54,1/2,1/2,1/2
Information Bit Payload,,,,,,
"For Sub-Frames 1,3,4,6,8,9",Bits,18336,12960,18336,11448,11448
"For Sub-Frames 2,7",Bits,16416,12960,16416,11448,11448
For Sub-Frame 5,Bits,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Bits,14688,10680,14688,9528,9528
Number of Code Blocks (Note 4),,,,,,
"For Sub-Frames 1,3,4,6,8,9",Code blocks,3,3,3,2,2
"For Sub-Frames 2, 7",Code blocks,3,3,3,2,2
For Sub-Frame 5,Bits,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Bits,3,2,3,2,2
Binary Channel Bits,,,,,,
"For Sub-Frames 1,3,4,6,8,9",Bits,36000,24000,36000,24000,24000
"For Sub-Frames 2,7",,34200,22800,33600,22800,22400
For Sub-Frame 5,Bits,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Bits,29520,19680,29520,19680,19680
Max. Throughput averaged over 1 frame,Mbps,15.7536,11.436,15.7536,10.1112,10.1112
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:50 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,
