Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
TDD,Table A.2.3.2.4-1,,1.4 - 20,256QAM,4/5,1,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,1.4 - 20,256QAM,4/5,2,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,1.4 - 20,256QAM,4/5,3,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,1.4 - 20,256QAM,4/5,4,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,1.4 - 20,256QAM,4/5,5,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,3 - 20,256QAM,4/5,6,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,3 - 20,256QAM,4/5,8,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,3 - 20,256QAM,4/5,9,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,3 - 20,256QAM,4/5,10,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,3 - 20,256QAM,4/5,12,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,5 - 20,256QAM,4/5,15,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,5 - 20,256QAM,4/5,16,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,5 - 20,256QAM,4/5,18,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,5 - 20,256QAM,4/5,20,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,5 - 20,256QAM,4/5,24,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,25,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,27,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,30,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,32,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,36,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,40,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,45,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,10 - 20,256QAM,4/5,48,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,15 - 20,256QAM,4/5,50,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,15 - 20,256QAM,4/5,54,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,15 - 20,256QAM,4/5,60,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,15 - 20,256QAM,4/5,64,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,15 - 20,256QAM,4/5,72,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,20,256QAM,4/5,75,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,20,256QAM,4/5,80,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,20,256QAM,4/5,81,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,20,256QAM,4/5,90,,,UL category ≥ 15
TDD,Table A.2.3.2.4-1,,20,256QAM,4/5,96,,,UL category ≥ 15
