Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,,,5,10,,
Allocated resource blocks,,,,25,50,,
Subcarriers per resource block,,,,12,12,,
Allocated subframes per Radio Frame,,,,9,9,,
Modulation,,,,QPSK,QPSK,,
Target Coding Rate,,,,1/3,1/3,,
Number of HARQ Processes,Processes,,,8,8,,
Maximum number of HARQ transmissions,,,,[4],[4],,
Information Bit Payload per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,2216,4392,,
For Sub-Frame 5,Bits,,,N/A,N/A,,
For Sub-Frame 0,Bits,,,1800,4392,,
Transport block CRC,Bits,,,24,24,,
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,1,1,,
For Sub-Frame 5,Bits,,,N/A,N/A,,
For Sub-Frame 0,Bits,,,1,1,,
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,6300,13800,,
For Sub-Frame 5,Bits,,,N/A,N/A,,
For Sub-Frame 0,Bits,,,5460,12960,,
Max. Throughput averaged over 1 frame,kbps,,,1952.8,3952.8,,
UE Category,,,,1-8,1-8,,
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10MHz channel BW. 3 symbols allocated to PDCCH for 5 MHz and 3 MHz. 4 symbols allocated to PDCCH for 1.4 MHzNote 2:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 4:Redundancy version coding sequence is {0, 1, 2, 3} for QPSK.",,,,,,,
