Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,25,50,,
Subcarriers per resource block,,,,12,12,,
Packets per SA period,,,,1,1,,
Modulation,,,,QPSK,QPSK,,
Transport Block Size,,,,2216,4392,,
Transport block CRC,Bits,,,24,24,,
Maximum number of HARQ transmissions,,,,4,4,,
Binary Channel Bits,Bits,,,7200,14400,,
Max. Throughput averaged over 1 SA period of 40ms,kbps,,,55.4,109.8,,
UE Category,,,,≥ 1,≥ 1,,
"Note 1:For PSSCH transmission, the last symbol shall be punctured as per TS 36.211.NOTE 2: Throughput (in kbps) will depend on SA period configuration",,,,,,,
