Parameter,PMCH (15 kHz SCS),,,,,,
,Unit,Value,,,,,
Reference channel,,R.PMCH.1,R.PMCH.2,R.PMCH.3,R.PMCH.4,R.PMCH.5,R.PMCH.6
PMCH bandwidth,MHz,6,7,8,6,7,8
Allocated resource blocks,,30,35,40,30,35,40
Allocated subframes per Radio Frame(Note1),,10,10,10,10,10,10
Modulation,,QPSK,QPSK,QPSK,64QAM,64QAM,64QAM
Target Coding Rate,,1/3,1/3,1/3,3/4,3/4,3/4
Information Bit Payload (Note 2),,,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,2152,2472,2856,14112,17568,18336
Number of Code Blocks per Sub-Frame (Note 3),,1,1,1,3,3,3
Binary Channel Bits Per Subframe,,,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,6120,7140,8160,18360,21420,24480
MBMS UE Category,,≥ 1,≥ 1,≥ 1,≥ 2,≥ 2,≥ 2
"Note 1:For FDD mode, all 10 subframes are available for MBMS, in line with TS 36.331 [7].Note 2:2 OFDM symbols are reserved for PDCCH; and no CRS allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
