Parameter,Unit,Value,
Reference channel,,R.62 TDD,R.63 TDD
Channel bandwidth,MHz,10,10
Allocated resource blocks (Note 4),,3,1
Uplink-Downlink Configuration (Note 3),,1,1
Allocated subframes per Radio Frame (D+S),,4+2,4+2
Modulation,,16QAM,64QAM
Target Coding Rate,,1/2,1/2
Information Bit Payload,,,
"For Sub-Frames 0,4,5,9",Bits,744,408
"For Sub-Frames 1,6",Bits,440,280
Number of Code Blocks,,,
"For Sub-Frames 0,4,5,9",Code blocks,1,1
"For Sub-Frames 1,6",Clode blocls,1,1
Binary Channel Bits,,,
"For Sub-Frames 0,4,5,9",Bits,1584,792
"For Sub-Frames 1,6",,1296,648
Max. Throughput averaged over 1 frame,Mbps,0.3856,0.2192
UE DL Category,,0,0
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:Allocated PRB positions start from {9, 10, …, 9+N-1}, where N is the number of allocated resource blocks.",,,
