Parameter,Unit,Value,,,,,
Reference channel,,D.1 FDD / D.1 TDD,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,2,2,2,2
Subcarriers per resource block,,,,12,12,12,12
DFT-OFDM Symbols per subframe (NOTE 1),,,,11,11,11,11
Modulation,,,,QPSK,QPSK,QPSK,QPSK
Transport Block Size,,,,232,232,232,232
Transport block CRC,Bits,,,24,24,24,24
Binary Channel Bits (NOTE 1),Bits,,,528,528,528,528
Max. Throughput averaged over 1 Discovery period of 320ms,kbps,,,0.725,0.725,0.725,0.725
UE Category,,,,≥ 1,≥ 1,≥ 1,≥ 1
"NOTE1:PSDCH transmissions are rate-matched for 12 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.",,,,,,,
