Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
TDD,Table A.3.4.1-1,R.4 TDD,1.4,QPSK,1/3,6,,≥ 1,
TDD,Table A.3.4.1-1,R.42 TDD,20,QPSK,1/3,100,,≥ 1,
TDD,Table A.3.4.1-1,R.2 TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.4.1-1,R.2A TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.4.1-1,R.42-1 TDD,3,QPSK,1/3,15,,≥ 1,
TDD,Table A.3.4.1-1,R.42-2 TDD,5,QPSK,1/3,25,,≥ 1,
TDD,Table A.3.4.1-1,R.42-3 TDD,15,QPSK,1/3,75,,≥ 1,
TDD,Table A.3.4.1-2,R.3-1 TDD,5,16QAM,1/2,25,,≥ 1,
TDD,Table A.3.4.1-2,R.3 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.1-3,R.5 TDD,3,64QAM,3/4,15,,≥ 1,
TDD,Table A.3.4.1-3,R.6 TDD,5,64QAM,3/4,25,,≥ 2,
TDD,Table A.3.4.1-3,R.7 TDD,10,64QAM,3/4,50,,≥ 2,
TDD,Table A.3.4.1-3,R.8 TDD,15,64QAM,3/4,75,,≥ 2,
TDD,Table A.3.4.1-3,R.9 TDD,20,64QAM,3/4,100,,≥ 3,
TDD,Table A.3.4.1-3a,R.6-1 TDD,5,64QAM,3/4,18,,≥ 1,
TDD,Table A.3.4.1-3a,R.7-1 TDD,10,64QAM,3/4,17,,≥ 1,
TDD,Table A.3.4.1-3a,R.8-1 TDD,15,64QAM,3/4,17,,≥ 1,
TDD,Table A.3.4.1-3a,R.9-1 TDD,20,64QAM,3/4,17,,≥ 1,
TDD,Table A.3.4.1-3a,R.9-2 TDD,20,64QAM,3/4,83,,≥ 2,
TDD,Table A.3.4.1-6,R.41 TDD,10,QPSK,1/10,50,,≥ 1,
Single PRB (Channel edge),,,,,,,,,
TDD,Table A.3.4.1-4,R.0 TDD,3,16QAM,1/2,1,,≥ 1,
TDD,Table A.3.4.1-4,R.1 TDD,10 / 20,16QAM,1/2,1,,≥ 1,
Single PRB (MBSFN Configuration),,,,,,,,,
TDD,Table A.3.4.1-5,R.29 TDD,10,16QAM,1/2,1,,≥ 1,
