Parameter,Unit,Value
Reference channel,,R.1 FS3
Channel bandwidth,MHz,20
Allocated resource blocks (Note 4),,100
Allocated subframes per Radio Frame,,10
Modulation,,64QAM
Target Coding Rate,,0.6
Information Bit Payload (Note 4),,
"For Sub-Frames 1,4,6,9",Bits,"{46888,15840,24496,37888,19848}"
"For Sub-Frames 2, 7",,"{46888,15840,24496,37888,19848}"
"For Sub-Frames 3, 8",,"{46888,15840,24496,37888,19848}"
For Sub-Frame 5,Bits,"{46888,15840,24496,37888,19848}"
For Sub-Frame 0,Bits,"{46888,15840,24496,37888,19848}"
Number of Code Blocks,,
(Notes 3 and 4),,
"For Sub-Frames 1,4,6,,9",,"{8,3,4,7,4}"
"For Sub-Frames 2,7",,"{8,3,4,7,4}"
"For Sub-Frames 3, 8",,"{8,3,4,7,4}"
For Sub-Frame 5,,"{8,3,4,7,4}"
For Sub-Frame 0,,"{8,3,4,7,4}"
Binary Channel Bits (Note 4),,
"For Sub-Frames 1,4,6,9",Bits,"{76800,26400,43200,62400,33600}"
"For Sub-Frames 2, 7",,"{76800,26400,43200,62400,33600}"
"For Sub-Frames 3, 8",,"{76800,26400,43200,62400,33600}"
For Sub-Frame 5,Bits,"{75936,26400,43200,61536,33600}"
For Sub-Frame 0 (Note 5),Bits,"{75936,26400,43200,61536,33600}"
UE Category,,≥ 5
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2: Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4: Given per component carrier per codeword.Note 5: For {a1,a2,a3,a4,a5}, a1, a2, a3, a4 and a5 stand for the setup when the number of OFDM sybmols is 14, 6, 9, 12, 7, respectively.",,
