Parameter,Unit,Value
Channel bandwidth,MHz,0.2
Number of subcarriers,,12
Modulation,,QPSK
Target Coding Rate,,1/3
Number of HARQ Processes,Processes,1
Maximum number of HARQ transmissions,,1
Transport block size,Bits,88
Number of Sub-Frames per transport block,,1
Transport block CRC,Bits,24
Binary Channel Bits Per Sub-Frame,Bits,320
LTE CRS port,,N/A
Number of NRS ports,,1
Number of NPDSCH repetitions (Note 7),,0
UE DL Category,,NB1
"Note 1:Category NB1 in stand-alone mode has been considered here.Note 2:Reference signal, Synchronization signals and NPBCH allocated as per TS 36.211.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 4:Parameters related to NPDSCH scheduling are defined in Table A.3.2-1e to Table A.3.2-1g.Note 5:NPDCCH and information bit payload are not transmitted in the subframes used for transmission of SI messages.Note 6:SI messages transmission should be prioritized over NPDCCH transmission in case of collision. NPDCCH transmission is postponed until the next NB-IoT downlink subframe in case NPDCCH transmission occurs in a non NB-IoT downlink subframe, where an NB-IoT downlink subframe is a subframe that does not contain NPSS/NSSS/NPBCH/SIB1-NB transmission.Note 7:Number of repetition NRep as defined in table 16.4.1.3-2 in TS 36.213 [6].",,
