Parameter,Unit,Value
Reference channel,,R.100 FDD
Channel bandwidth,MHz,10
Allocated resource blocks,,50 (Note 3)
Allocated subframes per Radio Frame,,9
Modulation,,16QAM
Target Coding Rate,,1/2
Information Bit Payload,,
"For Sub-Frames 1,3,4,6,8,9",Bits,22920
"For Sub-Frames 2,7",Bits,22920
For Sub-Frame 5,Bits,n/a
For Sub-Frame 0,Bits,19080
Number of Code Blocks (Note 4),,
"For Sub-Frames 1,3,4,6,8,9",Code blocks,4
"For Sub-Frames 2, 7",Code blocks,4
For Sub-Frame 5,Bits,n/a
For Sub-Frame 0,Bits,4
Binary Channel Bits,,
"For Sub-Frames 1,3,4,6,8,9",Bits,41600
"For Sub-Frames 2,7",,36800
For Sub-Frame 5,Bits,n/a
For Sub-Frame 0,Bits,34112
Max. Throughput averaged over 1 frame,Mbps,20.244
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:50 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,
