Parameter,Unit,Value
Reference channel,,R.108 FDD
Channel bandwidth,MHz,10
Allocated resource blocks,,43
Allocated subframes per Radio Frame,,8
Modulation,,QPSK
Target Coding Rate,,1/2
Information Bit Payload,,
For Sub-Frames (Non CSI-RS subframe),Bits,472
For Sub-Frames (CSI-RS subframe),Bits,472
"For Sub-Frame 5,7",Bits,N/A
Number of Code Blocks per Sub-Frame(Note 4),,
For Sub-Frames (Non CSI-RS subframe),,1
For Sub-Frames (CSI-RS subframe),,1
"For Sub-Frame 5,7",,N/A
Binary Channel Bits Per Sub-Frame,,
For Sub-Frames (Non CSI-RS subframe),Bits,960
For Sub-Frames (CSI-RS subframe),Bits,896
"For Sub-Frame 5,7",Bits,N/A
Max. Throughput averaged over 1 frame,Mbps,0.3776
UE Category,,≥ 1
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:Allocated PRB positions for PDSCH are {2, 3, 4, 5} within the assigned narrowband. Allocated PRB positions for MPDCCH are {0, 1} within the assigned narrowband.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,
