Table,Name,BW,Mod,RB,UE Categ,Notes
Table A.6.2-1,-,5,QPSK,2,≥ 1,
Table A.6.2-1,-,10,QPSK,2,≥ 1,
Table A.6.2-1,-,15,QPSK,2,≥ 1,
Table A.6.2-1,-,20,QPSK,2,≥ 1,
Table A.6.2-2,-,5,QPSK,25,≥ 1,
Table A.6.2-2,-,10,QPSK,50,≥ 1,
Table A.6.2-3,-,5,16QAM,25,2-8,
Table A.6.2-3,-,10,16QAM,50,2-8,
Table A.6.2-4,-,5,16QAM,25,1,
Table A.6.2-4,-,10,16QAM,50,1,
Table A.6.3-1,D.1 FDD / D.1 TDD,5,QPSK,2,≥ 1,
Table A.6.3-1,D.1 FDD / D.1 TDD,10,QPSK,2,≥ 1,
Table A.6.3-1,D.1 FDD / D.1 TDD,15,QPSK,2,≥ 1,
Table A.6.3-1,D.1 FDD / D.1 TDD,20,QPSK,2,≥ 1,
Table A.6.4-1,CC.1 FDD,5,QPSK,1,-,
Table A.6.4-1,CC.2 FDD,10,QPSK,1,-,
Table A.6.4-1,CC.3 FDD,5,QPSK,1,-,
Table A.6.4-1,CC.4 FDD,10,QPSK,1,-,
Table A.6.4-1,CC.5 FDD,5,QPSK,1,-,
Table A.6.4-1,CC.6 FDD,10,QPSK,1,-,
Table A.6.5-1,CD.1 FDD,5/10,QPSK,10,-,
Table A.6.5-1,CD.2 FDD,5/10,16QAM,10,-,
Table A.6.5-1,CD.3 FDD,5,16QAM,25,-,
Table A.6.5-1,CD.4 FDD,10,16QAM,50,-,
Table A.6.5-1,CD.5 FDD,5/10,QPSK,2,-,
Table A.6.5-2,CD.6 FDD,5,16QAM,25,-,
Table A.6.5-2,CD.7 FDD,10,16QAM,50,-,
Table A.6.6-1,CP.1 FDD,5/10,QPSK,6,-,
