Parameter,Unit,Value,,,
Reference channel,,R.47-1 FDD,R.47-2 FDD,R.47-3 FDD,
Channel bandwidth,MHz,5,15,20,
Allocated resource blocks (Note 4),,25,75,100,
Allocated number of PDCCH symbols,,2,2,2,
Allocated subframes per Radio Frame,,9,9,9,
Modulation,,16QAM,16QAM,16QAM,
Target Coding Rate,,,,,
Information Bit Payload (Note 4),,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,4008,12960,17568,
For Sub-Frame 5,Bits,N/A,N/A,N/A,
For Sub-Frame 0,Bits,3496,12960,17568,
Number of Code Blocks,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1,3,3,
For Sub-Frame 5,Bits,N/A,N/A,N/A,
For Sub-Frame 0,Bits,1,3,3,
Binary Channel Bits (Note 3),,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,12000,39600,52800,
For Sub-Frame 5,Bits,N/A,N/A,N/A,
For Sub-Frame 0,Bits,10368,37968,51168,
Max. Throughput averaged over 1 frame (Note 3),Mbps,3.556,11.664,15.8112,
UE Category,,≥ 1,≥ 1,≥ 1,
UE DL Category,,≥ 6,≥ 6,≥ 6,
"Note 1:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 3:Given per component carrier per codeword.",,,,,
