Information Element,,,Value
discRxPool(0),cp-Len,,Normal
,discPeriod,,rf32
,numRetx,,0
,numRepetition,,1
,tf-ResourceConfig,prb-Num,12
,,prb-Start,0
,,prb-End,23
,,offsetIndicator,150
,,subframeBitmap,1000000000000000000000000000000000000000
,txParameters,,not present
,rxParameters,,not present
discRxPool(1),cp-Len,,Normal
,discPeriod,,rf32
,numRetx,,0
,numRepetition,,1
,tf-ResourceConfig,prb-Num,12
,,prb-Start,0
,,prb-End,23
,,offsetIndicator,170
,,subframeBitmap,1000000000000000000000000000000000000000
,txParameters,,not present
,rxParameters,tdd-Config,not present
,,syncConfigIndex,0
discTxPoolCommon,,,not present
discTxPowerInfo,,,not present
SL-SyncConfig(0),syncCP-Len,,Normal
,syncOffsetIndicator,,0 (160 mod 40)
,slssid,,30
,txParameters,,not present
,rxParamsNCell,physCellId,1
,,discSyncWindow,w1
discInterFreqList,,,not present
