Parameter,Unit,Value
Reference channel,,R.29 TDD (MBSFN)
Channel bandwidth,MHz,10
Allocated resource blocks,,1
MBSFN Configuration (Note 5),,010010
Uplink-Downlink Configuration (Note 3),,1
Allocated subframes per Radio Frame (D+S),,1+2
Modulation,,16QAM
Target Coding Rate,,1/2
Information Bit Payload,,
"For Sub-Frames 4,9",Bits,0 (MBSFN)
"For Sub-Frames 1,6",Bits,208
For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,256
Number of Code Blocks per Sub-Frame(Note 4),,
"For Sub-Frames 4,9",Bits,0 (MBSFN)
"For Sub-Frames 1,6",Bits,1
For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,1
Binary Channel Bits Per Sub-Frame,,
"For Sub-Frames 4,9",Bits,0 (MBSFN)
"For Sub-Frames 1,6",Bits,456
For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,552
Max. Throughput averaged over 1 frame,kbps,67.2
UE Category,,≥ 1
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:MBSFN Subframe Allocation as defined in [7], one frame with 6 bits is chosen for MBSFN subframe allocation",,
