Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Uplink-Downlink Configuration (Note 2),,1,1,1,1,1,1
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM
Target Coding rate,,3/4,3/4,3/4,3/4,3/4,3/4
Payload size,,,,,,,
"For Sub-Frame 2,3,7,8",Bits,5160,12960,21384,42368,63776,84760
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame (Note 1),,,,,,,
"For Sub-Frame 2,3,7,8",,1,3,4,8,11,15
Total number of bits per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,7,8",Bits,6912,17280,28800,57600,86400,115200
Total symbols per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,7,8",,864,2160,3600,7200,10800,14400
UE UL Cateogry,,≥ 15,≥ 15,≥ 15,≥ 15,≥ 15,≥ 15
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:As per Table 4.2-2 in TS 36.211 [4]",,,,,,,
