Parameter,Unit,Value,,,,,,
Reference channel,,R.31 TDD,R.32 TDD,R.32-1 TDD,R.33 TDD,R.33-1TDD,R.34TDD,R.86TDD
Channel bandwidth,MHz,10,10,5,10,10,10,10
Allocated resource blocks,,50 4,50 4,25 4,50 4,18 6,50 4,50 4
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,QPSK,16QAM,16QAM,64QAM,64QAM,64QAM,QPSK
Target Coding Rate,,1/3,1/2,1/2,3/4,3/4,1/2,1/3
Information Bit Payload,,,,,,,,
"For Sub-Frames 4,9",Bits,3624,11448,5736,27376,9528,18336,4392
"For Sub-Frames 1,6",,2664,7736,3112,16992,7480,11832,2664
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,2984,9528,3496,22152,9528,14688,3624
Number of Code Blocks per Sub-Frame(Note 5),,,,,,,,
"For Sub-Frames 4,9",,1,2,1,5,2,3,1
"For Sub-Frames 1,6",,1,2,1,3,2,2,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,2,1,4,2,3,1
Binary Channel Bits Per Sub-Frame,,,,,,,,
"For Sub-Frames 4,9",Bits,12000,24000,10800,36000,12960,36000,11400
"For Sub-Frames 1,6",,7872,15744,6528,23616,10368,23616,7872
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,9840,19680,7344,29520,12960,29520,9840
Max. Throughput averaged over 1 frame,Mbps,1.556,4.79,2.119,11.089,4.354,7.502,1.7736
UE Category,,≥ 1,≥ 2,≥ 1,≥ 2,≥ 1,≥ 2,1bis
"Note 1: 2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4: For R.31, R.32, R.33 , R.34 and R.86, 50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6. For R.32-1, 25 resouce blocks are allocated in sub-frames 4,9 and 17 resource blocks (RB0–RB7 and RB16–RB24) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1, 6.Note 5: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 6:Localized allocation started from RB #0 is applied.",,,,,,,,
