Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
Two antenna ports,,,,,,,,,
FDD,Table A.3.3.2.1-1,R.10 FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.3.2.1-1,R.11 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.2.1-1,R.11-1 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.2.1-1,R.11-2 FDD,5,16QAM,1/2,25,,≥ 1,
FDD,Table A.3.3.2.1-1,R.11-3 FDD,10,16QAM,1/2,40,,≥ 1,
FDD,Table A.3.3.2.1-1,R.11-4 FDD,10,QPSK,1/2,50,,≥ 1,
FDD,Table A.3.3.2.1-9,R.11-13 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.2.1-1,R.30 FDD,20,16QAM,1/2,100,,≥ 2,
FDD,Table A.3.3.2.1-1,R.30-1 FDD,15,16QAM,1/2,75,,≥ 2,
FDD,Table A.3.3.2.1-1,R.35 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.2.1-1,R.35-1 FDD,20,64QAM,0.39,100,,4,
FDD,Table A.3.3.2.1-1,R.35-2 FDD,15,64QAM,0.39,75,,≥ 2,
FDD,Table A.3.3.2.1-1,R.35-3 FDD,10,64QAM,0.39,50,,≥ 2,
FDD,Table A.3.3.2.1-2,R.35-4 FDD,10,64QAM,0.47,50,,≥ 2,
FDD,Table A.3.3.2.1-2,R.46 FDD,10,QPSK,,50,,≥ 1,
FDD,Table A.3.3.2.1-2,R.47 FDD,10,16QAM,,50,,≥ 1,
FDD,Table A.3.3.2.1-7,R.47-1 FDD,5,16QAM,,25,,≥ 1,
FDD,Table A.3.3.2.1-7,R.47-2 FDD,15,16QAM,,75,,≥ 1,
FDD,Table A.3.3.2.1-7,R.47-3 FDD,20,16QAM,,100,,≥ 1,
FDD,Table A.3.3.2.1-2,R.11-5 FDD,1.4,16QAM,1/2,6,,≥ 1,
FDD,Table A.3.3.2.1-2,R.11-6 FDD,3,16QAM,1/2,15,,≥ 1,
FDD,Table A.3.3.2.1-2,R.11-7 FDD,15,16QAM,1/2,75,,≥ 2,
FDD,Table A.3.3.2.1-2,R.11-8 FDD,10,QPSK,3/5,50,,≥ 2,
FDD,Table A.3.3.2.1-2,R.11-9 FDD,10,QPSK,0.58,50,,≥ 1,
FDD,Table A.3.3.2.1-2,R.11-10 FDD,10,QPSK,0.67,50,,≥ 1,
FDD,Table A.3.3.2.1-2,R.10-2 FDD,5,QPSK,1/3,25,,≥ 1,
FDD,Table A.3.3.2.1-2,R.10-3 FDD,10,16QAM,0.58,50,,≥ 2,
FDD,Table A.3.3.2.1-2,R.65 FDD,10,256QAM,0.55,50,,11-15,
FDD,Table A.3.3.2.1-3,R.62 FDD,10,16QAM,1/2,3,,0,
FDD,Table A.3.3.2.1-3,R.63 FDD,10,64QAM,1/2,1,,0,
FDD,Table A.3.3.2.1-4,R.79 FDD,10,16QAM,1/2,3,,"M1, M2,≥ 0",
FDD,Table A.3.3.2.1-5,R.81 FDD,10,QPSK,1/10,6,,"M1, ≥ 0",
FDD,Table A.3.3.2.1-6,R.84 FDD,10,16QAM,1/2,39,,≥ 1,
FDD,Table A.3.3.2.1-6,R.aa FDD,10,QPSK,0.6-0.65,50,,≥ 1,
FDD,Table A.3.3.2.1-6,R.bb FDD,10,16QAM,0.3-0.32,50,,≥ 2,
FDD,Table A.3.3.2.1-6,R.87 FDD,10,64QAM,0.39,50,,≥1,
FDD,Table A.3.3.2.1-6,R.87-1 FDD,10,16QAM,0.44,50,,≥1,
FDD,Table A.3.3.2.1-6,R.87-2 FDD,5,64QAM,0.39,25,,≥1,
FDD,Table A.3.3.2.1-6,R.87-3 FDD,15,64QAM,0.39,75,,≥1,
FDD,Table A.3.3.2.1-6,R.87-4 FDD,20,64QAM,0.39,100,,≥1,
FDD,Table A.3.3.2.1-8,R.90 FDD,10,QPSK,1/3,18,,M2,
FDD,Table A.3.3.2.1-8,R.91 FDD,10,QPSK,1/10,18,,M2,
FDD,Table A.3.3.2.1-8,R.92-1 FDD,10,QPSK,1/2,36,,≥1,
FDD,Table A.3.3.2.1-8,R.92-2 FDD,10,QPSK,1/2,36,,≥1,
FDD,Table A.3.3.2.1-4,R.103 FDD,10,QPSK,1/3,3,,"M1, M2",
FDD,Table A.3.3.2.1-4,R.104 FDD,10,64QAM,0.4,3,,"M1, M2",
Four antenna ports,,,,,,,,,
FDD,Table A.3.3.2.2-1,R.12 FDD,1.4,QPSK,1/3,6,,≥ 1,
FDD,Table A.3.3.2.2-1,R.13 FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.3.2.2-1,R.14 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.2.2-1,R.14-1 FDD,10,16QAM,1/2,6,,≥ 1,
FDD,Table A.3.3.2.2-1,R.14-2 FDD,10,16QAM,1/2,3,,≥ 1,
FDD,Table A.3.3.2.2-1,R.14-3 FDD,20,16QAM,1/2,100,,≥ 2,
FDD,Table A.3.3.2.2-1,R.36 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.2.2-1,R.14-4 FDD,1.4,16QAM,1/2,6,,≥ 1,
FDD,Table A.3.3.2.2-1,R.14-5 FDD,3,16QAM,1/2,15,,≥ 1,
