Information Element / (BW configuration),,,,Value(5MHz),Value(10MHz)
commRxPool,sc-CP-Len,,,Normal,
,sc-Period,,,sf40,
,sc-TF-ResourceConfig,prb-Num,,13,25
,,prb-Start,,0,0
,,prb-End,,24,49
,,offsetIndicator,,0,
,,subframeBitmap,,0001100000000000000000000000000000000000,
,data-CP-Len,,,Normal,
,dataHoppingConfig,hoppingParameter,,504,
,,numSubbands,,ns2,
,,rb-Offset,,0,
,ue-SelectedResourceConfig,data-TF-ResourceConfig,prb-Num,13,25
,,,prb-Start,0,0
,,,prb-End,24,49
,,,offsetIndicator,0,
,,,subframeBitmap,0000000011111111111111111111111111111111,
,,trpt-Subset-r12,,001,
,rxParametersNCell,,,not present,
,txParameters,,,not present,
commTxPoolNormalCommon,,,,not present,
SL-SyncConfig,,,,not present,
