Parameter,Unit,Values,,,,,,,
Reference channel,,R.87 FDD,R.87-1 FDD,R.84 FDD,R.aa FDD,R.bb FDD,R.87-2 FDD,R.87-3 FDD,R.87-4 FDD
Channel bandwidth,MHz,10,10,10,10,10,5,15,20
Allocated resource blocks (Note 4),,50,50,39,50,50,25,75,100
Allocated number of PDCCH symbols,,2,2,2,2,2,2,2,2
Allocated subframes per Radio subframes,,8,8,9,9,9,8,8,8
Modulation,,64QAM,16QAM,16QAM,QPSK,16QAM,64QAM,64QAM,64QAM
Target Coding Rate,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,0.39,0.44,1/2,0.6,0.3,0.39,0.39,0.39
For Sub-Frames 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 0,,N/A,N/A,N/A,0.65,0.32,N/A,N/A,N/A
Information Bit Payload (Note 4),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,15264,11448,9912,7992,7992,7736,22920,30576
For Sub-Frames 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 0,,N/A,N/A,9912,7992,7992,N/A,N/A,N/A
Number of Code Blocks(Notes 3 and 4),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,3,2,2,2,2,2,4,5
For Sub-Frames 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 0,,N/A,N/A,2,2,2,N/A,N/A,N/A
Binary Channel Bits  (Note 4),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,39600,26400,20592,13200,26400,19800,59400,79200
For Sub-Frames 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 0,,N/A,N/A,20592,12384,24768,N/A,N/A,N/A
Max. Throughput averaged over 1 frame (Note 4),Mbps,12.211,9.158,8.9208,7.1928,7.1928,6.1888,18.336,24.461
UE Category,,≥ 1,≥ 1,1bis,≥ 1,≥ 2,≥ 1,≥ 1,≥ 1
UE DL Category,,≥ 6,≥ 6,N/A,≥ 6,≥ 6,≥ 6,≥ 6,≥ 6
"Note 1:VoidNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 4:Given per component carrier per codeword.Note 5:For R.84 FDD, 39 RBs are allocated on RB 0-20 and 30-47.",,,,,,,,,
