Parameter,Unit,Values,,
Reference channel,,R.79 TDD,R.103 TDD,R.104 TDD
Channel bandwidth,MHz,10,10,10
Allocated resource blocks (Note 4),,3,3,3
Allocated subframes per Radio Frame (D+S),,4+2,(Note 5),4
Modulation,,16QAM,QPSK,64QAM
Target Coding Rate,,1/2,1/3,0.4
Information Bit Payload,,,,
"For Sub-Frames 0,4,5,9",Bits,744,224,968
"For Sub-Frames 1,6",Bits,440,N/A,N/A
Number of Code Blocks,,,,
"For Sub-Frames 0,4,5,9",Code blocks,1,1,1
"For Sub-Frames 0,4,5,9",Code blocks,1,1,1
Binary Channel Bits,,,,
"For Sub-Frames 0,4,5,9",Bits,1584,792,2376
"For Sub-Frames 1,6",Bits,1296,N/A,N/A
Max. Throughput averaged over 1 frame,Mbps,0.3856,0.0112,0.3872
UE DL Category,,"M1, M2 ≥ 0","M1, M2","M1, M2"
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:Allocated PRB positions for PDSCH are {3, 4, 5} within the assigned narrowband. Allocated PRB positions for MPDCCH are {0, 1} within the assigned narrowband.Note 5:MPDCCH are scheduled at the 0th to 3rd BL/CE DL subframes with repetition every period=20ms. The associated PDSCH is scheduled at the 5th BL/CE DL subframe with repetition every period=20ms (starting from the 0th subframe).",,,,
