Parameter,Unit,Value
Reference channel,,R.64 TDD
Channel bandwidth,MHz,10
Allocated resource blocks (Note 4),,6
Uplink-Downlink Configuration (Note 3),,1
Allocated subframes per Radio Frame (D+S),,4+2
Modulation,,QPSK
Target Coding Rate,,1/3
Information Bit Payload,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,504
"For Sub-Frames 4,9 (CSI-RS subframe)",Bits,504
"For Sub-Frames 1,6",,256
"For Sub-Frames 0,5",Bits,504
Number of Code Blocks per Sub-Frame,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Code blocks,1
"For Sub-Frames 4,9 (CSI-RS subframe)",Code blocks,1
"For Sub-Frames 1,6",Code blocks,1
"For Sub-Frames 0,5",Code blocks,1
Binary Channel Bits Per Sub-Frame,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,1440
"For Sub-Frames 4,9 (CSI-RS subframe)",Bits,1352
"For Sub-Frames 1,6",,1152
"For Sub-Frames 0,5",Bits,1440
Max. Throughput averaged over 1 frame,Mbps,0.2528
UE DL Category,,0
"Note 1: 2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:Allocated PRB positions start from {9, 10, …, 9+N-1}, where N is the number of allocated resource blocks.",,
