Parameter,Unit,Value,,,,,
Reference channel,,R.4 FDD,R.42FDD,R.42-1 FDD,R.42-2 FDD,R.42-3 FDD,R.2 FDD
Channel bandwidth,MHz,1.4,20,3,5,15,10
Allocated resource blocks (Note 4),,6,100,15,25,75,50
Allocated subframes per Radio Frame,,9,9,9,9,9,9
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3
Information Bit Payload (Note 4),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,408,8760,1320,2216,6712,4392
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,152,8760,1064,1800,6712,4392
Number of Code Blocks (Notes 3 and 4),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,1,2,1,1,2,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,2,1,1,2,1
Binary Channel Bits (Note 4),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1368,27600,3780,6300,20700,13800
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,528,26760,2940,5460,19860,12960
Max. Throughput averaged over 1 frame(Note 4),Mbps,0.342,7.884,1.162,1.953,6.041,3.953
UE Category,,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4: Given per component carrier per codeword.",,,,,,,
