Parameter,Unit,Value,,,,,,,
Reference channel,,R.51 TDD,R.51-1 TDD,R.76 TDD,R.51-2 TDD,R.51-3 TDD,R.51-4 TDD,R.X TDD,R.94 TDD
Channel bandwidth,MHz,10,10,10,5,15,20,10,10
Allocated resource blocks,,50 (Note 5),50 (Note 5),50 (Note 5),25 (Note 6),75 (Note 7),100 (Note 8),50 (Note 5),24 (Note 9)
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,16QAM,16QAM,QPSK,16QAM,16QAM,16QAM,64QAM,QPSK
Target Coding Rate,,1/2,0.57,,1/2,1/2,1/2,1/2,2/3
Information Bit Payload,,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,11448,N/A,6200,NA,NA,NA,NA,N/A
"For Sub-Frame 4,9",Bits,11448,12960,6200,4968,16992,22920,18336,3752
"For Sub-Frames 1,6",Bits,7736,9144,4264,3112,12216,16992,11832,2856
For Sub-Frame 5,Bits,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,9528,10680,4968,3496,14112,19848,14688,3752
Number of Code Blocks (Note 4),,,,,,,,,
"For Sub-Frames 4, 9 (non CSI-RS subframe)",Code blocks,2,N/A,2,N/A,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9",Code blocks,2,3,2,1,3,4,3,1
"For Sub-Frames 1,6",Code blocks,2,2,1,1,3,3,3,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Code blocks,2,2,1,1,3,4,3,1
Binary Channel Bits,,,,,,,,,
"For Sub-Frames 4, 9 (non CSI-RS subframe)",Bits,24000,N/A,11800,NA,NA,NA,N/A,N/A
"For Sub-Frames 4,9",,22800,22800,11800,10200,34200,45600,34200,5472
"For Sub-Frames 1,6",,15744,15744,7872,6144,24192,33792,23616,4608
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,19680,19680,9840,6912,30240,42240,29520,5760
Max. Throughput averaged over 1 frame,Mbps,4.7896,5.4888,2.5896,1.9656,7.2528,99.672,7.502,1.697
UE Category,,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,1bis
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 6:25 resource blocks are allocated in sub-frames 4,9 and 17 resource blocks (RB0–RB9 and RB18–RB24) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 7:75 resource blocks are allocated in sub-frames 4,9 and 63 resource blocks (RB0–R31 and RB44–RB74) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 8:100 resource blocks are allocated in sub-frames 4,9 and 88 resource blocks (RB0–RB43 and RB56–RB99) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 9:24 resource blocks (RB 0-20 and 30-32) are allocated in sub-frames 0, 1, 2, 3, 4, 6, 7, 8, 9",,,,,,,,,
