Information Element,,,Value
"discRxPool(iPool),iPool = 0…NPool-1",cp-Len,,Normal
,discPeriod,,rf32
,numRetx,,3
,numRepetition,,"=2 if NPool > 10,=1 otherwise"
,tf-ResourceConfig,prb-Num,"5MHz: min{24, 2N-24*iPool} / 210MHz: 2515MHz: min{74, 2N-74*iPool} / 220MHz: 50"
,,prb-Start,0
,,prb-End,"5 MHz: min{24, 2N-24*iPool} - 110 MHz: 4915 MHz: min{74, 2N-74*iPool} - 120 MHz: 99"
,,offsetIndicator,160
,,subframeBitmap,"a(0), a(1), …, a(39), s.t.a(i * NPool + iPool) = 1, i = 0,..,K;a(k) = 0 otherwisewhereK = 1 is NPool  > 10, K = 3 otherwise"
,txParameters,,not present
,rxParameters,,not present
discTxPoolCommon,,,not present
discTxPowerInfo,,,not present
SL-SyncConfig,,,not present
discInterFreqList,,,not present
"NOTE 1: The resource pool configuration description is parameterized using channel BW, number of configured resource pools (NPool), and maximum number of configured Sidelink UEs to be supported (N).",,,
