Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,,,,,,,,,
FDD,Table A.3.5.1-1,R.15 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.15-1 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.15-2 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.16 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.16-1 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.16-2 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.16-3 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.16-4 FDD,10,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.17 FDD,5,PDCCH,,,,,
FDD,Table A.3.5.1-1,R.17-3 FDD,10,PDCCH,,,,,
TDD,,,,,,,,,
TDD,Table A.3.5.2-1,R.15 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.15-1 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.15-2 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.16 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.16-1 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.16-2 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.16-3 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.16-4 TDD,10,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.17 TDD,5,PDCCH,,,,,
TDD,Table A.3.5.2-1,R.17-3 TDD,10,PDCCH,,,,,
FS3,,,,,,,,,
FS3,Table A.3.5.3-1,R.3 FS3,20,PDCCH,,,,,
FS3,Table A.3.5.3-2,R.4 FS3,20,PDCCH,,,,,
