Parameter,Unit,Value,,
Reference channel,,R.80 TDD,R.80-1 TDD,R.80-2 TDD
Channel bandwidth,MHz,10,10,10
Allocated resource blocks (Note 4),,6,6,6
Uplink-Downlink Configuration (Note 3),,1,1,1
Allocated PDSCH subframes,,Note 6,Note 7,Note 8
Modulation,,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3
Information Bit Payload,,,,
"For Sub-Frames 4,9",Bits,504,504,504
"For Sub-Frames 1,6",,N/A,N/A,N/A
"For Sub-Frames 0,5",Bits,504,504,504
Number of Code Blocks per Sub-Frame,,,,
"For Sub-Frames 4,9",Code blocks,1,1,1
"For Sub-Frames 1,6",Code blocks,N/A,N/A,N/A
"For Sub-Frames 0,5",Code blocks,1,1,1
Binary Channel Bits Per Sub-Frame,,,,
"For Sub-Frames 4,9",Bits,1440,1440,1440
"For Sub-Frames 1,6",,N/A,N/A,N/A
"For Sub-Frames 0,5",Bits,1440,1440,1440
Max. Throughput averaged over one period,kbps,6.3,12.6,25.2
UE DL Category,,"M1, ≥ 0",≥1,≥1
"Note 1: 2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:Allocated PRB positions are {0, 1, 2, 3, 4, 5} within the assigned narrowband.Note 5: The allocated PRB positions are {0, 1, 2, 3, 4, 5} within the assigned narrowband. If it is not BL/CE DL subframes, MPDCCH/PDSCH transmission is postponed until the next BL/CE DL subframe. Note the DL subframes in the TDD uplink-downlink configuration are considered as the BL/CE DL subframes.Note 6:MPDCCH are scheduled at the 0th to 7th BL/CE DL subframes with repetition every period=80ms. The associated PDSCH is scheduled at the 9th to 16th BL/CE DL subframes every 80ms (starting from the 0th subframe).Note 7:MPDCCH are scheduled at the 0th to 1th BL/CE DL subframes with repetition every period=40ms. The associated PDSCH is scheduled at the 3th to 6th BL/CE DL subframes every 40ms (starting from the 0th subframe).Note 8:MPDCCH are scheduled at the 0th BL/CE DL subframes with repetition every period=20ms. The associated PDSCH is scheduled at the 1th to 2th BL/CE DL subframes every 20ms (starting from the 0th subframe).",,,,
