Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,,,,,,,,,
FDD,Table A.3.8.1-1,R.40 FDD,1.4,QPSK,1/3,6,,≥ 1,
FDD,Table A.3.8.1-1,R.37 FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.8.1-2,R.38 FDD,10,16QAM,1/2,50,,≥ 1,
FDD,Table A.3.8.1-3,R.39-1 FDD,5,64QAM,2/3,25,,≥ 1,
FDD,Table A.3.8.1-3,R.39 FDD,10,64QAM,2/3,50,,≥ 2,
FDD,Table A.3.8.1-4,R.81-1 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.8.1-4,R.81-2 FDD,10,64QAM,2/3,50,,≥ 2,
FDD,Table A.3.8.1-5,R.82-1 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.8.1-6,R.83-1 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.8.1-6,R.83-2 FDD,10,64QAM,2/3,50,,≥ 2,
FDD,Table A.3.8.1-7,R.84-1 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.8.1-8,R.85-1 FDD,3,QPSK,1/3,15,,≥ 1,
FDD,Table A.3.8.1-8,R.85-2 FDD,5,16QAM,1/2,25,,≥ 1,
FDD,Table A.3.8.1-8,R.85-3 FDD,10,64QAM,2/3,50,,≥ 2,
FDD,Table A.3.8.1-9,R.106-1 FDD,10,64QAM,0.48,50,,≥ 2,
FDD,Table A.3.8.1-9,R.106-2 FDD,10,64QAM,0.52,50,,≥ 2,
FDD,Table A.3.8.1-9,R.106-3 FDD,6,64QAM,0.49,30,,≥ 2,
FDD,Table A.3.8.1-9,R.106-4 FDD,7,64QAM,0.48,35,,≥ 2,
FDD,Table A.3.8.1-9,R.106-5 FDD,8,64QAM,0.48,40,,≥ 2,
FDD,Table A.3.8.1-9,R.106-6 FDD,6,64QAM,0.54,30,,≥ 2,
FDD,Table A.3.8.1-9,R.106-7 FDD,7,64QAM,0.53,35,,≥ 2,
FDD,Table A.3.8.1-9,R.106-8 FDD,8,64QAM,0.52,40,,≥ 2,
FDD,Table A.3.8.1-10,R.107 FDD,10,16QAM,0.46,50,,≥ 2,
FDD,Table A.3.8.1-10,R.107-1 FDD,6,16QAM,0.46,30,,≥ 2,
FDD,Table A.3.8.1-10,R.107-2 FDD,7,16QAM,0.46,35,,≥ 2,
FDD,Table A.3.8.1-10,R.107-3 FDD,8,16QAM,0.46,40,,≥ 2,
FDD,Table A.3.8.1-11,R.108-1FDD,8,16QAM,0.41,40,,,
FDD,Table A.3.8.1-11,R.108-2FDD,8,QPSK,0.3,40,,,
TDD,,,,,,,,,
TDD,Table A.3.8.2-1,R.40 TDD,1.4,QPSK,1/3,6,,≥ 1,
TDD,Table A.3.8.2-1,R.37 TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.8.2-2,R.38 TDD,10,16QAM,1/2,50,,≥ 1,
TDD,Table A.3.8.2-3,R.39-1 TDD,5,64QAM,2/3,25,,≥ 1,
TDD,Table A.3.8.2-3,R.39 TDD,10,64QAM,2/3,50,,≥ 2,
