Parameter,,,,Unit,,Value,,,
Reference channel,,R.44FDD,R.45FDD,,R.45-1FDD,,R.60 FDD,R.50A -1 FDD,R.45A-2 FDD
Channel bandwidth,MHz,10,10,,10,,10,10,10
Allocated resource blocks,,503,503,,39,,503,503,503
Allocated subframes per Radio Frame,,10,10,,10,,10,7,10
Modulation,,QPSK,16QAM,,16QAM,,QPSK,64QAM,16QAM
Target Coding Rate,,1/3,1/2,,1/2,,1/2,1/2,1/2
Information Bit Payload,,,,,,,,,
For Sub-Frames (Non CSI-RS subframe),Bits,3624,11448,,8760,,6200,18336,11448
For Sub-Frames (CSI-RS subframe),Bits,3624,11448,,8760,,6200,N/A,11448
For Sub-Frames (ZeroPowerCSI-RS subframe),Bits,N/A,N/A,,N/A,,N/A,N/A,N/A
For Sub-Frame 5,Bits,N/A,N/A,,N/A,,N/A,N/A,N/A
For Sub-Frame 0,Bits,2984,9528,,8760,,N/A,14688,9528
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,,,
For Sub-Frames (Non CSI-RS subframe),,1,2,,2,,2,3,2
For Sub-Frames (CSI-RS subframe),,1,2,,2,,2,N/A,2
For Sub-Frames (ZeroPowerCSI-RS subframe),Bits,N/A,N/A,,N/A,,N/A,N/A,N/A
For Sub-Frame 5,,N/A,N/A,,N/A,,N/A,N/A,N/A
For Sub-Frame 0,,1,2,,2,,N/A,3,2
Binary Channel Bits Per Sub-Frame,,,,,,,,,
For Sub-Frames (Non CSI-RS subframe),Bits,12000,24000,,18720,,12000,36000,24000
For Sub-Frames (CSI-RS subframe),Bits,11600,23200,,18096,,11600,N/A,23600
For Sub-Frames (ZeroPowerCSI-RS subframe),Bits,N/A,N/A,,N/A,,N/A,N/A,N/A
For Sub-Frame 5,Bits,N/A,N/A,,N/A,,N/A,N/A,N/A
For Sub-Frame 0,Bits,9840,19680,,18720,,N/A,29520,19680
Max. Throughput averaged over 1 frame,Mbps,3.1976,10.1112,,7.884,,4.96,12.4704,10.1112
UE Category,,≥ 1,≥ 2,,≥ 1,,≥ 1,≥ 2,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHzNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:For R.44, R.45 and R.60, 50 resource blocks are allocated in sub-frames 1,2,3,4,6,7,8,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0. For R.45-1, 39 resource blocks are allocated in all subframes (RB0–RB20 and RB30–RB47). For R.50A-1, 50 resource blocks are allocated in sub-frames 2, 3, 4, 7, 8, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,,,,,,,,
