Parameter,Unit,Value,,,,,,
Reference channel,,R.50 TDD,R.50-1 TDD,R.50-2 TDD,R.50-3 TDD,R.50-4 TDD,R.50-5 TDD,R.50-6 TDD
Channel bandwidth,MHz,10,10,10,5,10,15,20
Allocated resource blocks,,50 (Note 4),50 (Note 4),50 (Note 6),25 (Note 7),50 (Note 4),75 (Note 8),100 (Note 9)
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,QPSK,QPSK,QPSK,16QAM,16QAM,16QAM,16QAM
Target Coding Rate,,1/3,1/3,1/3,1/2,1/2,1/2,1/2
Information Bit Payload,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,3624,3624,3624,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9 (CSI-RS subframe)",Bits,3624,3624,3624,17568,39232,61664,78704
"For Sub-Frames 1,6",,2664,2664,3112,12216,26416,42368,61664
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,2984,2984,3368,13536,37888,57336,78704
Number of Code Blocks per Sub-Frame(Note 5),,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",,1,1,1,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9 (CSI-RS subframe)",,1,1,1,3,7,11,13
"For Sub-Frames 1,6",,1,1,1,2,5,7,11
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,1,1,3,7,10,13
Binary Channel Bits Per Sub-Frame,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,12000,13200,13200,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9 (CSI-RS subframe)",Bits,10400,11600,11600,33600,76800,115200,153600
"For Sub-Frames 1,6",,7872,7872,8448,22848,55104,84672,118272
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,9840,9840,10560,26112,70848,108864,152064
Max. Throughput averaged over 1 frame,Mbps,1.556,1.556,1.684,7.3104,16.9184,26.54,35.944
UE Category,,≥ 1,≥ 1,≥ 1,8,8,8,8
UE DL Category,,,,,"14, 17,18,19,20,22,23,24,25,26","14, 17,18,19,20,22,23,24,25,26","14, 17,18,19,20,22,23,24,25,26","14, 17,18,19,20,22,23,24,25,26"
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4: 50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 5: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 6: 50 resource blocks are allocated in sub-frames 4,9 and 47 resource blocks (RB0–RB23 and RB27–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6. In sub-frame 0 and the DwPTS portion of sub-frames 1, 6, PDSCH is rate matched around RB22, RB23 and RB27.Note 7:25 resource blocks are allocated in sub-frames 4,9 and 17 resource blocks (RB0–RB9 and RB18–RB24) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 8:75 resource blocks are allocated in sub-frames 4,9 and 63 resource blocks (RB0–R31 and RB44–RB74) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 9:100 resource blocks are allocated in sub-frames 4,9 and 88 resource blocks (RB0–RB43 and RB56–RB99) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 10:Given per component carrier per codeword.",,,,,,,,
