Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks (Note 6),,2,8,15,15,15,15
Subcarriers per resource block,,12,12,12,12,12,12
Allocated subframes per Radio Frame (Note 4),,2,2,8,8,8,8
Modulation,,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Target Coding Rate,,3/5,3/5,1/2,1/2,1/2,1/2
Number of HARQ Processes,Processes,8,8,8,8,8,8
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload,,,,,,,
"For Sub-Frames 3, 8",Bits,552,2280,4008,4008,4008,4008
"For Sub-Frames 0,1,2,5,7,9",Bits,N/A,N/A,N/A,N/A,4008,4008
For Sub-Frame 4,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 6,Bits,N/A,N/A,N/A,N/A,N/A,N/A
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame,,,,,,,
"For Sub-Frames 3, 8",,1,1,1,1,1,1
"For Sub-Frames 0,1,2,5,7,9",,N/A,N/A,1,1,1,1
For Sub-Frame 4,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 6,,N/A,N/A,N/A,N/A,N/A,N/A
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 3, 8",Bits,912,4032,7560,7560,7560,7560
"For Sub-Frames 0,1,2,5,7,9",,N/A,N/A,N/A,N/A,7560,7560
For Sub-Frame 4,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 6,Bits,N/A,N/A,N/A,N/A,N/A,N/A
Max. Throughput averaged over 1 frame for FDD,kbps,110.4,456.0,801.6,801.6,3206.4,3206.4
Max. Throughput averaged over 1 frame for HD-FDD,,55.2,228.0,400.8,400.8,1202.4,1202.4
"Note 1:4 symbols allocated to PDCCH for 1.4MHz channel bandwidth. 3 symbols allocated to all other channel bandwidths.Note 2:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211.Note 3: The scheduled wideband other than 1.4MHz/3MHz/5MHz/10MHz/ channel bandwidth avoids the centre of the channel where some REs of the same PRBs are occupied by PBCH and synchronization signals.Note 4:For HD-FDD UE, PDSCH are scheduled at the 3rd subframe every 1 radio frame for 1.4MHz/3MHz/5MHz/10MHz channel bandwidth. For other channel bandwidth, PDSCH are scheduled at the 0th, 1st, and 2nd subframes every 1 radio frame. Information bit payload is available if downlink subframe is scheduled. The corresponding MPDCCH is scheduled 2 subframes before the corresponding PDSCH transmission.Note 5:2 resource blocks allocated to MPDCCH.Note 6:2 resource blocks allocated to PDSCH for 1.4MHz channel bandwidth. 2 narrowbands and 4 resource blocks in each narrowband allocated to PDSCH for 3MHz channel bandwidth. For 5MHz/10MHz/15MHz/20MHz channel bandwidth, configure 3 narrowbands and 5 resource blocks in each narrowband allocated to PDSCH.",,,,,,,
