Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,25,24,,
Subcarriers per resource block,,,,12,12,,
Packets per SA period,,,,1,1,,
Modulation,,,,16QAM,16QAM,,
Transport Block Size,,,,9912,10296,,
Transport block CRC,Bits,,,24,24,,
Maximum number of HARQ transmissions,,,,4,4,,
Binary Channel Bits,Bits,,,14400,13824,,
Max. Throughput averaged over 1 SA period of 40ms,kbps,,,247.8,257.4,,
"Note 1:For PSSCH transmission, the last symbol shall be punctured as per TS 36.211.Note 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3: Throughput (in kbps) will depend on SA period configuration",,,,,,,
