Parameter,Unit,Value,
Reference channel,,R.11-13 TDD,
Channel bandwidth,MHz,10,
Allocated resource blocks (Note 5),,50,
Uplink-Downlink Configuration (Note 3),,4,
Special subframe configuration,,4,
Allocated subframes per Radio Frame (D+S),,7+1,
Modulation,,16QAM,
Target Coding Rate,,1/2,
Information Bit Payload (Note 5),,,
"For Sub-Frames 0,4,6,7,8,9",Bits,10680,
For Sub-Frames 1,,7736,
For Sub-Frames 5,,NA,
Number of Code Blocks(Notes 4 and 5),,,
"For Sub-Frames 0,4,5,6,7,8,9",,2,
For Sub-Frames 1,,2,
For Sub-Frames 5,,NA,
Binary Channel Bits (Note 5),,,
"For Sub-Frames 0,4,5,6,7,8,9",Bits,21648,
For Sub-Frames 1,,17424,
For Sub-Frames 5,,NA,
Max. Throughput averaged over 1 frame (Note 5),Mbps,7.1816,
UE Category,,≥ 2,
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:Given per component carrier per codeword.Note 6:41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0,1,4,5,6,7,8,9.",,,
