Parameter,Unit,Value,,,,,,,
Reference channel,,R.31-7 TDD,R.31-8 TDD,R.31-9 TDD,R.31-1A TDD,R.31-10 TDD,R.31-11 TDD,R.31-12 TDD,
Channel bandwidth,MHz,10,15,20,20,10,15,20,
Allocated resource blocks,,Note 7,Note 11,Note 12,Note 13,Note 14,Note 15,Note 16,
Uplink-Downlink Configuration (Note 3),,1,1,1,5,1,1,1,
Number of HARQ Processes per component carrier,Processes,7,7,7,15,7,7,7,
Allocated subframes per Radio Frame (D+S),,4,4,4,8+1,4,4,4,
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,
Target Coding Rate,,,,,,,,,
"For Sub-Frames 4,9",,0.78,0.77,0.79,0.41,0.85,0.84,0.85,
"For Sub-Frames 3,8",,N/A,N/A,N/A,0.41,N/A,N/A,N/A,
For Sub-Frame 7,,N/A,N/A,N/A,0.41,N/A,N/A,N/A,
For Sub-Frames 0,,0.82,0.79,0.81,0.41,0.75,0.76,0.74,
For Sub-Frames 1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
For Sub-Frames 5,,0.79,0.79,0.80,0.41,0.75,0.76,0.75,
For Sub-Frames 6,,N/A,N/A,N/A,0.41,N/A,N/A,N/A,
Information Bit Payload,,,,,,,,,
"For Sub-Frames 4,9",Bits,63776,93800,128496,10296,110136,161760,220296,
"For Sub-Frames 3,8",Bits,0,0,0,10296,N/A,N/A,N/A,
For Sub-Frame 7,Bits,0,0,0,10296,N/A,N/A,N/A,
For Sub-Frame 0,Bits,63776,93800,128496,10296,87936,137792,187712,
For Sub-Frame 1,Bits,0,0,0,0,0,0,0,
For Sub-Frame 5,Bits,59256,90816,124464,10296,81176,128496,181656,
For Sub-Frame 6,Bits,0,0,0,10296,0,0,0,
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,,,
"For Sub-Frames 4,9",,11,16,21,2,18,27,36,
"For Sub-Frames 3,8",,N/A,N/A,N/A,2,N/A,N/A,N/A,
For Sub-Frame 7,,N/A,N/A,N/A,2,N/A,N/A,N/A,
For Sub-Frame 0,,11,16,21,2,15,23,31,
For Sub-Frame 1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
For Sub-Frame 5,,10,15,21,2,14,21,30,
For Sub-Frame 6,Bits,N/A,N/A,N/A,2,N/A,N/A,N/A,
Binary Channel Bits Per Sub-Frame,,,,,,,,,
"For Sub-Frames 4,9",Bits,81600,122400,163200,25200,129600,194400,259200,
"For Sub-Frames 3,8",Bits,0,0,0,25200,0,0,0,
For Sub-Frame 7,Bits,0,0,0,25200,0,0,0,
For Sub-Frame 0,Bits,77856,118656,159456,25200,118080,181440,253440,
For Sub-Frame 1,Bits,0,0,0,0,0,0,0,
For Sub-Frame 5,Bits,75840,115008,155808,25200,109440,169920,241920,
For Sub-Frame 6,Bits,0,0,0,25200,0,0,0,
Number of layers,,4,4,4,1,8,8,8,
Max. Throughput averaged over 1 frame (Note 10),Mbps,25.058,37.222,50.996,8.237,77.877,117.962,161.992,
UE Category,,≥ 6,≥ 6,≥ 6,≥ 1,8,8,8,
UE DL Category,,,,,,"14, 17,18,19,20,22,23,24,25,26","14, 17,18,19,20,22,23,24,25,26","14, 17,18,19,20,22,23,24,25,26",
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:The first RBG, i.e. resource blocks nPRB = 0..2 for 10MHz channel bandwidth, nPRB = 0..3 for 15MHz and 20MHz channel bandwidths are allocated for SIB transmissions in sub-frame 5.Note 6:VoidNote 7:Resource blocks nPRB = 3..49 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..49 in other available downlink sub-frames according to uplink downlink configurations used .Note 8:VoidNote 9:VoidNote10:Given per component carrier per codeword.Note11:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in other downlink sub-frames.Note 12:Resource blocks nPRB = 4..99 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..99 in other downlink sub-frames.Note 13:Resource blocks nPRB = 8..35 are allocated for the user data in all sub-frames.Note 14:84 resource blocks nPRB = 4..43 and nPRB = 56..99 are allocated for the user data in sub-frame 5, and 88 resource blocks nPRB = 0..43 and nPRB = 56..99 are allocated for the user data in sub-frame 0,and 100 resource blocks nPRB = 0..99 in other downlink sub-frames.Note 15:59 resource blocks nPRB = 4..31 and nPRB = 44...74 are allocated for the user data in sub-frame 5, and 63 resource blocks nPRB = 0..31 and nPRB = 44..74 are allocated for the user data in sub-frame 0, and 75 resource blocks nPRB = 0..74 in other downlink sub-frames.Note 16:38 resource blocks nPRB = 3..20 and nPRB = 30..49 are allocated for the user data in sub-frame 5, and 41 resource blocks nPRB = 0..20 and nPRB = 30..49 are allocated for the user data in sub-frame 0, and 50 resource blocks nPRB = 0..49 in other available downlink sub-frames according to uplink downlink configurations used.",,,,,,,,,
