Parameter,Unit,Value,,,,,
Reference channel,,R.25 TDD,R.26 TDD,R.26-1 TDD,R.27 TDD,R.27-1TDD,R.28 TDD
Channel bandwidth,MHz,10,10,5,10,10,10
Allocated resource blocks,,50 4,50 4,25 4,50 4,18 6,1
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,QPSK,16QAM,16QAM,64QAM,64QAM,16QAM
Target Coding Rate,,1/3,1/2,1/2,3/4,3/4,1/2
Information Bit Payload,,,,,,,
"For Sub-Frames 4,9",Bits,4392,12960,5736,28336,10296,224
"For Sub-Frames 1,6",Bits,3240,9528,4584,22920,8248,176
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,2984,9528,3880,22152,10296,224
Number of Code Blocks per Sub-Frame(Note 5),,,,,,,
"For Sub-Frames 4,9",,1,3,1,5,2,1
"For Sub-Frames 1,6",,1,2,1,4,2,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,2,1,4,2,1
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,12600,25200,11400,37800,13608,504
"For Sub-Frames 1,6",Bits,10356,20712,10212,31068,11340,420
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,10332,20664,7752,30996,13608,504
Max. Throughput averaged over 1 frame,Mbps,1.825,5.450,2.452,12.466,4.738,0.102
UE Category,,≥ 1,≥ 2,≥ 1,≥ 2,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:For R.25, R.26 and R.27, 50 resource blocks are allocated in sub-frames 1, 4, 6, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0. For R.26-1, 25 resource blocks are allocated in sub-frames 1, 4, 6, 9 and 17 resource blocks (RB0–RB7 and RB16–RB24) are allocated in sub-frame 0.Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 6:Localized allocation started from RB #0 is applied.",,,,,,,
