Parameter,Unit,Value,,,,,,,,,
Reference channel,,R.51 FDD,R.51-1 FDD,R.76 FDD,R.51-2 FDD,R.51-3 FDD,R.51-4 FDD,R.86 FDD,R.86A FDD,R.X FDD,R.94 FDD
Channel bandwidth,MHz,10,10,10,5,15,20,10,10,10,10
Allocated resource blocks,,50 (Note 3),50 (Note 3),50 (Note 3),25 (Note 5),75 (Note 6),100 (Note 7),50 (Note 3),50 (Note 3),50 (Note 3),24 (Note 8)
Allocated subframes per Radio Frame,,9,9,9,9,9,9,9,9,9,9
Modulation,,16QAM,16QAM,QPSK,16QAM,16QAM,16QAM,QPSK,QPSK,64QAM,QPSK
Target Coding Rate,,1/2,0.54,,1/2,1/2,1/2,1/3,1/3,1/2,2/3
Information Bit Payload,,,,,,,,,,,
"For Sub-Frames 1,4,6,9",Bits,11448,12960,6200,5736,16992,22920,4392,3624,18336,3752
"For Sub-Frames 2,3,7,8",Bits,11448,12960,6200,5736,16992,22920,4392,3624,18336,3752
For Sub-Frame 5,Bits,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,9528,10680,4968,3880,14112,19848,3624,2984,14688,3752
Number of Code Blocks (Note 4),,,,,,,,,,,
"For Sub-Frames 1,4,6,9",Code blocks,2,3,2,1,3,4,1,1,3,1
"For Sub-Frames 2,3,7,8",Code blocks,2,3,2,1,3,4,1,1,3,1
For Sub-Frame 5,Bits,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,2,2,1,1,3,4,1,1,3,1
Binary Channel Bits,,,,,,,,,,,
"For Sub-Frames 1,4,6,9",Bits,24000,24000,12000,10800,36000,48000,12000,11600,36000,5760
"For Sub-Frames 2,7",,23600,23600,11800,10600,35400,47200,11800,11600,35400,5664
"For Sub-Frames 3,8",,23200,23200,12000,10400,34800,46400,11600,11200,34800,5568
For Sub-Frame 5,Bits,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,19680,19680,9840,6912,30240,42240,11184,9512,29520,5760
Max. Throughput averaged over 1 frame,Mbps,10.1112,11.436,5.4568,4.9768,15.0048,20.3208,3.876,3.1976,16.138,3.376
UE Category,,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,1bis,≥ 1,≥ 2,1bis
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:50 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:25 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 17 resource blocks (RB0–RB9 and RB18–RB24) are allocated in sub-frame 0.Note 6:75 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 63 resource blocks (RB0–R31 and RB44–RB74) are allocated in sub-frame 0.Note 7:100 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 88 resource blocks (RB0–RB43 and RB56–RB99) are allocated in sub-frame 0.Note 8: 24 resource blocks (RB 0-20 and 30-32) are allocated in sub-frames 0, 1, 2, 3, 4, 6, 7, 8, 9",,,,,,,,,,,
