Parameter,Unit,Value,,,,,
Channel Bandwidth,MHz,,,,10,,
Allocated resource blocks,,,,,50,,
Uplink-Downlink Configuration (Note 5),,,,,1,,
Allocated subframes per Radio Frame (D+S),,,,,4+2,,
Number of HARQ Processes,Processes,,,,7,,
Maximum number of HARQ transmission,,,,,[4],,
Modulation,,,,,QPSK,,
Target coding rate,,,,,1/3,,
Information Bit Payload per Sub-Frame,Bits,,,,,,
"For Sub-Frame 4, 9",,,,,4392,,
"For Sub-Frame 1, 6",,,,,3240,,
For Sub-Frame 5,,,,,N/A,,
For Sub-Frame 0,,,,,4392,,
Transport block CRC,Bits,,,,24,,
Number of Code Blocks per Sub-Frame (Note 5),,,,,,,
"For Sub-Frame 4, 9",,,,,1,,
"For Sub-Frame 1, 6",,,,,1,,
For Sub-Frame 5,,,,,N/A,,
For Sub-Frame 0,,,,,1,,
Binary Channel Bits Per Sub-Frame,Bits,,,,,,
"For Sub-Frame 4, 9",,,,,13800,,
"For Sub-Frame 1, 6",,,,,11256,,
For Sub-Frame 5,,,,,N/A,,
For Sub-Frame 0,,,,,13104,,
Max. Throughput averaged over 1 frame,kbps,,,,1965.6,,
UE Category,,,,,1-5,,
"Note 1:For normal subframes(0,4,5,9), 2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For special subframe (1&6), only 2 OFDM symbols are allocated to PDCCH for all BWs.Note 2:For 1.4MHz, no data shall be scheduled on special subframes(1&6) to avoid problems with insufficient PDCCH performanceNote 3:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4]Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:As per Table 4.2-2 in TS 36.211 [4]Note 6:Redundancy version coding sequence is {0, 1, 2, 3} for QPSK.",,,,,,,
