Channel bandwidth,,,,,,,
E-UTRA Band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex Mode
1,,,,[-102],,,FDD
2,,,,TBD,,,FDD
3,,,,TBD,,,FDD
4,,,,TBD,,,FDD
5,,,,TBD,,,FDD
6,,,,TBD,,,FDD
7,,,,TBD,,,FDD
8,,,,TBD,,,FDD
9,,,,TBD,,,FDD
10,,,,TBD,,,FDD
11,,,,TBD,,,FDD
12,,,,TBD,,,FDD
13,,,,TBD,,,FDD
14,,,,TBD,,,FDD
…,,,,,,,
17,,,,TBD,,,FDD
18,,,,TBD,,,FDD
19,,,,TBD,,,FDD
20,,,,TBD,,,FDD
21,,,,TBD,,,FDD
22,,,,TBD,,,FDD
23,,,,TBD,,,FDD
24,,,,TBD,,,FDD
26,,,,TBD,,,FDD
27,,,,TBD,,,FDD
28,,,,TBD,,,FDD
30,,,,TBD,,,FDD
31,,,TBD,,,,FDD
…,,,,,,,
33,,,,[-102],,,TDD
34,,,,[-102],,,TDD
35,,,,[-102],,,TDD
36,,,,[-102],,,TDD
37,,,,[-102],,,TDD
38,,,,[-102],,,TDD
39,,,,[-102],,,TDD
40,,,,[-102],,,TDD
42,,,,[-102],,,TDD
43,,,,[-102],,,TDD
44,,,,[-102],,,TDD
45,,,,[-102],,,TDD
…,,,,,,,
54,,,TBD,,,,TDD
…,,,,,,,
65,,,,TBD,,,FDD
70,,,,TBD,,,FDD
71,,,,TBD,,,FDD
87,,,TBD,,,,FDD
88,,,TBD,,,,FDD
Note 1:The transmitter shall be set to PUMAX as defined in clause 6.2.5Note 2:Reference measurement channel is G.3 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1Note 3:The signal power is specified per portNote 4:For the UE which supports both Band 3 and Band 9 the reference sensitivity level is FFS.Note 5:For the UE which supports both Band 11 and Band 21 the reference sensitivity level is FFS.,,,,,,,
