Parameter,Unit,Value
Reference channel,,CC.8
Allocated resource blocks,,2
DFT-OFDM Symbols per subframe (see Note 1),,9
Modulation,,QPSK
Payload (without CRC),Bits,32
CRC,Bits,16
SCI Format,,1
Number of PSCCH transmissions,,1
Binary Channel Bits (see Note 2),Bits,432
"Note 1:PSCCH transmissions are rate-matched for 10 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.Note 2:Binary Channel Bits are calculated under assumption of 9 symbols.Note 3:Un-used or redundant bits/code-points in SCI format 1 are randomized.",,
