Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,12,24,24,24,24
Uplink-Downlink Configuration (Note 2),,1,1,1,1,1,1
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Target Coding rate,,1/3,1/3,1/3,1/3,1/3,1/3
Payload size,,,,,,,
"For Sub-Frame 2,3,7,8",Bits,1032,2088,4264,4264,4264,4264
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame (Note 1),,,,,,,
"For Sub-Frame 2,3,7,8",,1,1,1,1,1,1
Total number of bits per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,7,8",Bits,3456,6912,13824,13824,13824,13824
Total symbols per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,7,8",,864,1728,3456,3456,3456,3456
UE Category,,M2,M2,M2,M2,M2,M2
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 2:As per Table 4.2-2 in TS 36.211[4]",,,,,,,
