Parameter,Unit,Value,,,,,,,,,,,
Reference channel,,R.10 FDD,R.11 FDD,R.11-1 FDD,R.11-2 FDD,R.11-3 FDD Note 5,R.11-4 FDD,R.30 FDD,R.30-1 FDD,R.35-1 FDD,R.35 FDD,R.35-2 FDD,R.35-3 FDD
Channel bandwidth,MHz,10,10,10,5,10,10,20,15,20,10,15,10
Allocated resource blocks (Note 4),,50,50,50,25,40,50,100,75,100,50,75,50
Allocated subframes per Radio Frame,,9,9,8,9,9,9,9,8,8,9,8,8
Modulation,,QPSK,16QAM,16QAM,16QAM,16QAM,QPSK,16QAM,16QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,1/3,1/2,1/2,1/2,1/2,1/2,1/2,1/2,0.39,1/2,0.39,0.39
Information Bit Payload (Note 4),,,,,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,4392,12960,12960,5736,10296,6968,25456,19080,30576,19848,22920,15264
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,4392,12960,N/A,4968,10296,6968,25456,N/A,N/A,18336,N/A,N/A
Number of Code Blocks (Notes 3 and 4),,,,,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1,3,3,1,2,2,5,4,5,4,4,3
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,1,3,N/A,1,2,2,5,N/A,N/A,3,N/A,N/A
Binary Channel Bits (Note 4),,,,,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,13200,26400,26400,12000,21120,13200,52800,39600,79200,39600,59400,39600
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,12384,24768,N/A,10368,19488,12384,51168,N/A,N/A,37152,N/A,N/A
Max. Throughput averaged over 1 frame (Note 4),Mbps,3.953,11.664,10.368,5.086,9.266,6.271,22.910,15.264,24.461,17.712,18.336,12.211
UE Category,,≥ 1,≥ 2,≥ 2,≥ 1,≥ 1,≥ 1,≥ 2,≥ 2,4,≥ 2,≥ 2,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4: Given per component carrier per codeword.Note 5:For R.11-3 resource blocks of RB6–RB45 are allocated.",,,,,,,,,,,,,
