Parameter,Unit,Value,,,,,,,
Reference channel,,R.31-6 FDD,R.31-7 FDD,R.31-8 FDD,R.31-9 FDD,R.31-10 FDD,R.31-1A FDD,,
Channel bandwidth,MHz,5,10,15,20,5,20,,
Allocated resource blocks (Note 5),,Note 4,Note 7,Note 8,Note 9,Note 4,Note 10,,
Allocated subframes per Radio Frame,,9,10,10,10,9,10,,
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,,
Coding Rate,,,,,,,,,
"For Sub-Frame 1,2,3,4,6,7,8,9,",,0.85,0.78,0.77,0.79,0.78,0.41,,
For Sub-Frame 5,,N/A,0.80,0.79,0.81,N/A,0.41,,
For Sub-Frame 0,,0.83,0.83,0.8,0.81,0.85,0.41,,
Information Bit Payload (Note 5),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,18336,63776,93800,128496,31704,10296,,
For Sub-Frame 5,Bits,N/A,59256,90816,124464,N/A,10296,,
For Sub-Frame 0,Bits,15840,63776,93800,128496,30576,10296,,
Number of Code Blocks(Notes 3 and 5),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,3,11,16,21,6,2,,
For Sub-Frame 5,Bits,N/A,10,15,21,N/A,2,,
For Sub-Frame 0,Bits,3,11,16,21,5,2,,
Binary Channel Bits (Note 5),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,21600,81600,122400,163200,40800,25200,,
For Sub-Frame 5,Bits,N/A,74976,114144,154944,N/A,25200,,
For Sub-Frame 0,Bits,19152,76992,117792,158592,36192,25200,,
Number of layers,,2,4,4,4,4,1,,
Max. Throughput averaged over 1 frame (Note 5),Mbps,17.837,63.324,93.502,128.093,28.421,10.296,,
UE Categories,,≥ 2,≥ 6,≥ 6,≥ 6,≥ 6,≥ 1,,
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:Resource blocks nPRB = 0..24 in sub-frames 0,1,2,3,4,6,7,8,9.Note 5: Given per component carrier per codeword.Note 6: Ng=1/6.Note 7:Resource blocks nPRB = 3..49 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..49 in sub-frames 0,1,2,3,4,6,7,8,9.Note 8:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in sub-frames 0,1,2,3,4,6,7,8,9.Note 9:Resource blocks nPRB = 4..99 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..99 in sub-frames 0,1,2,3,4,6,7,8,9.Note 10:Resource blocks nPRB = 8..35 are allocated for the user data in all sub-frames.",,,,,,,,,
