Parameter,Unit,Values,,
Reference channel,,R.81 FDD,R.81-1 FDD,R.81-2 FDD
Channel bandwidth,MHz,10,10,10
Allocated resource blocks (Note 4),,6,6,6
Allocated PDSCH subframes,,(Note 3),(Note 6),(Note 7)
Modulation,,QPSK,QPSK,QPSK
Target Coding Rate,,1/10,1/10,1/10
Information Bit Payload,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,152,152,152
Number of Code Blocks,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Code blocks,1,1,1
Binary Channel Bits,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,1584,1584,1584
Max. Throughput averaged over one period,kbps,0.950,1.9,4.75
UE DL Category,,"M1, ≥ 0",≥1,≥1
"Note 1:2 symbols allocated to PDCCHNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3: PDSCH subframes are scheduled at the 65th to 128th subframes every period=160 ms. Information bit payload is available at the 65th to 128th subframes with repetition. (Starting from the 0th subframe)Note 4:Allocated PRB positions are {0, 1, 2, 3, 4, 5} within the assigned narrowband.Note 5:MPDCCH are scheduled at the 0th to 63rd subframes with repetition. The allocated PRB positions are {0, 1, 2, 3, 4, 5} within the assigned narrowband. (Starting from the 0th subframe)Note 6:PDSCH subframes are scheduled at the 33th to 64th subframes every period=80 ms. Information bit payload is available at the 33th to 64th subframes with repetition. (Starting from the 0th subframe)Note 7:PDSCH subframes are scheduled at the 9th to 24th subframes every period=32 ms. Information bit payload is available at the 9th to 24th subframes with repetition. (Starting from the 0th subframe)",,,,
