Parameter,Unit,Value,
Reference channel,,R.29 FDD (MBSFN),R.29-1 FDD (MBSFN)
Channel bandwidth,MHz,10,10
Allocated resource blocks,,1,1
MBSFN Configuration,,111111(Note 4),11111111(Note 5)
Allocated subframes per Radio Frame,,3,3
Modulation,,16QAM,16QAM
Target Coding Rate,,1/2,1/2
Information Bit Payload,,,
"For Sub-Frames 4,9",Bits,256,0(MBSFN)
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,256,256
"For Sub-Frame 1,2,3,6,7,8",Bits,0 (MBSFN),0 (MBSFN)
Number of Code Blocks per Sub-Frame(Note 3),,,
"For Sub-Frames 4,9",,1,0(MBSFN)
For Sub-Frame 5,,N/A,N/A
For Sub-Frame 0,,1,1
"For Sub-Frame 1,2,3,6,7,8",,0 (MBSFN),0 (MBSFN)
Binary Channel Bits Per Sub-Frame,,,
"For Sub-Frames 4,9",Bits,552,0(MBSFN)
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,552,552
"For Sub-Frame 1,2,3,6,7,8",Bits,0 (MBSFN),0 (MBSFN)
Max. Throughput averaged over 1 frame,kbps,76.8,25.6
UE Category,,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:MBSFN Subframe Allocation as defined in TS 36.331 [7], one frame with 6 bits is chosen for MBSFN subframe allocationNote 5:MBSFN Subframe Allocation as defined in TS 36.331 [7], one frame with 6 bits and MBSFN Subframe Allocation-v14xy in TS 36.331 [7], one frame with 2 bits, are chosen for MBSFN subframe allocation.",,,
