Parameter,PMCH,,,,,,
,Unit,Value,,,,,
Reference channel,,,R.107 FDD,R.107-1 FDD,R.107-2 FDD,R.107-3 FDD,
Channel bandwidth,MHz,,10,6,7,8,
Allocated resource blocks,,,50,30,35,40,
Allocated subframes per 40ms(Note1),,,39,39,39,39,
Modulation,,,16QAM,16QAM,16QAM,16QAM,
Target Coding Rate,,,0.46,0.46,0.46,0.46,
Information Bit Payload (Note 2),,,,,,,
For each subframes,Bits,,9912,5992,6968,7992,
Number of Code Blocks per Sub-Frame (Note 3),,,2,1,2,2,
Binary Channel Bits Per Subframe,,,,,,,
For each subframes,Bits,,21600,12960,15120,172800,
MBMS UE Category,,,≥ 2,≥ 2,≥ 2,≥ 2,
"Note 1:First subframe of every 40ms is allocated for non-MBMS transmission.Note 2:Zero OFDM symbols are reserved for PDCCH; and no CRS allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
