Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,,,,,,,,,
FDD,Table A.3.10.1-1,R.55 FDD,10,EPDCCH,,,,,
FDD,Table A.3.10.1-1,R.55-1 FDD,10,EPDCCH,,,,,
FDD,Table A.3.10.1-1,R.56 FDD,10,EPDCCH,,,,,
FDD,Table A.3.10.1-1,R.57 FDD,10,EPDCCH,,,,,
FDD,Table A.3.10.1-1,R.58 FDD,10,EPDCCH,,,,,
FDD,Table A.3.10.1-1,R.59 FDD,10,EPDCCH,,,,,
TDD,,,,,,,,,
TDD,Table A.3.10.2-1,R.55 TDD,10,EPDCCH,,,,,
TDD,Table A.3.10.2-1,R.55-1 TDD,10,EPDCCH,,,,,
TDD,Table A.3.10.2-1,R.56 TDD,10,EPDCCH,,,,,
TDD,Table A.3.10.2-1,R.57 TDD,10,EPDCCH,,,,,
TDD,Table A.3.10.2-1,R.58 TDD,10,EPDCCH,,,,,
TDD,Table A.3.10.2-1,R.59 TDD,10,EPDCCH,,,,,
