Parameter,Ch BW,Allocated RBs,UDL Configuration (Note 2),DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,"Payload size for Sub-Frame 2, 3, 7, 8",Transport block CRC,Number of code blocks per Sub-Frame (Note 1),"Total number of bits per Sub-Frame for Sub-Frame 2, 3, 7, 8","Total symbols per Sub-Frame for Sub-Frame 2, 3, 7, 8",UE Category
Unit,MHz,,,,,,Bits,Bits,,Bits,,
,1.4 - 20,1,1,12,QPSK,1/3,72,24,1,288,144,≥ 1
,1.4 - 20,2,1,12,QPSK,1/3,176,24,1,576,288,≥ 1
,1.4 - 20,3,1,12,QPSK,1/3,256,24,1,864,432,≥ 1
,1.4 - 20,4,1,12,QPSK,1/3,392,24,1,1152,576,≥ 1
,1.4 - 20,5,1,12,QPSK,1/3,424,24,1,1440,720,≥ 1
,3-20,6,1,12,QPSK,1/3,600,24,1,1728,864,≥ 1
,3-20,8,1,12,QPSK,1/3,808,24,1,2304,1152,≥ 1
,3-20,9,1,12,QPSK,1/3,776,24,1,2592,1296,≥ 1
,3-20,10,1,12,QPSK,1/3,872,24,1,2880,1440,≥ 1
,3-20,12,1,12,QPSK,1/3,1224,24,1,3456,1728,≥ 1
,5-20,15,1,12,QPSK,1/3,1320,24,1,4320,2160,≥ 1
,5-20,16,1,12,QPSK,1/3,1384,24,1,4608,2304,≥ 1
,5-20,18,1,12,QPSK,1/3,1864,24,1,5184,2592,≥ 1
,5-20,20,1,12,QPSK,1/3,1736,24,1,5760,2880,≥ 1
,5-20,24,1,12,QPSK,1/3,2472,24,1,6912,3456,≥ 1
,10-20,25,1,12,QPSK,1/3,2216,24,1,7200,3600,≥ 1
,10-20,27,1,12,QPSK,1/3,2792,24,1,7776,3888,≥ 1
,10-20,30,1,12,QPSK,1/3,2664,24,1,8640,4320,≥ 1
,10-20,32,1,12,QPSK,1/3,2792,24,1,9216,4608,≥ 1
,10-20,36,1,12,QPSK,1/3,3752,24,1,10368,5184,≥ 1
,10-20,40,1,12,QPSK,1/3,4136,24,1,11520,5760,≥ 1
,10-20,45,1,12,QPSK,1/3,4008,24,1,12960,6480,≥ 1
,10-20,48,1,12,QPSK,1/3,4264,24,1,13824,6912,≥ 1
,15 - 20,50,1,12,QPSK,1/3,5160,24,1,14400,7200,≥ 1
,15 - 20,54,1,12,QPSK,1/3,4776,24,1,15552,7776,≥ 1
,15 - 20,60,1,12,QPSK,1/4,4264,24,1,17280,8640,≥ 1
,15 - 20,64,1,12,QPSK,1/4,4584,24,1,18432,9216,≥ 1
,15 - 20,72,1,12,QPSK,1/4,5160,24,1,20736,10368,≥ 1
,20,75,1,12,QPSK,1/5,4392,24,1,21600,10800,≥ 1
,20,80,1,12,QPSK,1/5,4776,24,1,23040,11520,≥ 1
,20,81,1,12,QPSK,1/5,4776,24,1,23328,11664,≥ 1
,20,90,1,12,QPSK,1/6,4008,24,1,25920,12960,≥ 1
,20,96,1,12,QPSK,1/6,4264,24,1,27648,13824,≥ 1
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:As per Table 4.2-2 in TS 36.211 [4]",,,,,,,,,,,,
