Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Subcarriers per resource block,,12,12,12,12,12,12
Uplink-Downlink Configuration (Note 5),,1,1,1,1,1,1
Allocated subframes per Radio Frame,,2,3+2,3+2,3+2,3+2,3+2
Modulation,,1024QAM,1024QAM,1024QAM,1024QAM,1024QAM,1024QAM
Target Coding Rate,,4/5,4/5,4/5,4/5,4/5,4/5
Number of HARQ Processes,Processes,7,7,7,7,7,7
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,6456,15840,26416,55056,81176,110136
"For Sub-Frames 1,6",Bits,N/A,12960,22152,45352,66592,90816
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,12216,22920,52752,78704,105528
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
"For Sub-Frames 4,9",,2,3,5,9,14,18
"For Sub-Frames 1,6",,N/A,3,4,8,11,15
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,N/A,2,4,9,13,18
Binary Channel Bits per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,7560,18900,31500,69000,103500,138000
"For Sub-Frames 1,6",,N/A,16380,27780,56280,84780,113280
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,15420,28020,65520,100020,134520
Max. Throughput averaged over 1 frame,kbps,1291.2,6981.6,12005.6,25356.8,37424,50743.2
"Note 1:For normal subframes(0,4,5,9), 2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz, 3 MHz and 1.4 MHz. For special subframe (1&6), only 2 OFDM symbols are allocated to PDCCH for all BWs.Note 2:For 1.4MHz, no data shall be scheduled on special subframes(1&6) to avoid problems with insufficient PDCCH performance.Note 3:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:As per Table 4.2-2 in TS 36.211 [4].",,,,,,,
