Parameter,Unit,Value,,,,,
Reference channel,,R.68 TDD,R.68-1 TDD,R.68-2 TDD,R.68-3 TDD,R.68-4 TDD,
Channel bandwidth,MHz,20,15,10,20,15,
Allocated resource blocks,PRB,Note 6,Note 7,Note 8,Note 6,Note 7,
Uplink-Downlink Configuration (Note 3),,1,1,1,[2],[2],
Number of HARQ Processes per component carrier,Processes,7,7,7,[10],[10],
Allocated subframes per Radio Frame (D+S),,4+2,4+2,4+2,[6+2],[6+2],
Modulation,,256QAM,256QAM,256QAM,256QAM,256QAM,
Target Coding Rate,,,,,,,
For Sub-Frame 0,,0.76,0.77,0.78,0.76,0.77,
For Sub-Frame 1,,N/A,N/A,N/A,N/A,N/A,
For Sub-Frames 3,,N/A,N/A,N/A,0.74,0.79,
For Sub-Frames 4,,0.74,0.79,0.74,0.74,0.79,
For Sub-Frame 5,,0.74,0.76,0.76,0.74,0.76,
For Sub-Frame 6,,N/A,N/A,N/A,[N/A],[N/A],
For Sub-Frame 7,,N/A,N/A,N/A,[N/A],[N/A],
For Sub-Frames 8,,N/A,N/A,N/A,0.85,0.88,
For Sub-Frames 9,,0.85,0.88,0.85,0.85,0.88,
Information Bit Payload,,,,,,,
For Sub-Frame 0,Bits,84760,63776,42368,84760,63776,
For Sub-Frame 1,Bits,0,0,0,0,0,
For Sub-Frames 3,Bits,N/A,N/A,N/A,84760,63776,
For Sub-Frames 4,Bits,84760,63776,42368,84760,63776,
For Sub-Frame 5,Bits,81176,61664,40576,81176,61664,
For Sub-Frame 6,Bits,0,0,0,[0],[0],
For Sub-Frame 7,,N/A,N/A,N/A,[N/A],[N/A],
For Sub-Frames 8,Bits,N/A,N/A,N/A,97896,75376,
For Sub-Frames 9,Bits,97896,75376,48936,97896,75376,
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
For Sub-Frame 0,,14,11,7,14,11,
For Sub-Frame 1,,N/A,N/A,N/A,N/A,N/A,
For Sub-Frames 3,,N/A,N/A,N/A,14,11,
For Sub-Frames 4,,14,11,7,14,11,
For Sub-Frame 5,,14,11,7,14,11,
For Sub-Frame 6,,N/A,N/A,N/A,[N/A],[11],
For Sub-Frame 7,,N/A,N/A,N/A,[N/A],[11],
For Sub-Frames 8,,N/A,N/A,N/A,16,13,
For Sub-Frames 9,,16,13,8,16,13,
Binary Channel Bits Per Sub-Frame,,,,,,,
For Sub-Frame 0,Bits,112512,83712,54912,112512,83712,
For Sub-Frame 1,Bits,0,0,0,0,0,
For Sub-Frames 3,Bits,N/A,N/A,N/A,115200,86400,
For Sub-Frames 4,Bits,115200,86400,57600,115200,86400,
For Sub-Frame 5,,110016,81216,53568,110016,81216,
For Sub-Frame 6,Bits,0,0,0,[0],[0],
For Sub-Frame 7,,N/A,N/A,N/A,[N/A],[N/A],
For Sub-Frames 8,Bits,N/A,N/A,N/A,115200,86400,
For Sub-Frames 9,Bits,115200,86400,57600,115200,86400,
Number of layers,,2,2,2,2,2,
Max. Throughput averaged over 1 frame (Note 5),Mbps,34.859,26.459,17.425,[53.125],[40.374],
UE Categories,,11-12,11-12,11-12,11-12,11-12,
UE DL Categories,,≥ 11,≥ 11,≥ 11,≥ 11,≥ 11,
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:Given per component carrier per codeword.Note 6:Resource blocks nPRB = 4..99 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..99 in other downlink sub-frames.Note 7:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in other downlink sub-frames.Note 8:Resource blocks nPRB = 3..49 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..49 in the available downlink sub-frames according to uplink downlink configurations used.",,,,,,,
