Parameter,Unit,Value,,,,,
Reference channel,,,,,R.41 FDD,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,,50,,
Allocated subframes per Radio Frame,,,,,9,,
Modulation,,,,,QPSK,,
Target Coding Rate,,,,,1/10,,
Information Bit Payload,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,,1384,,
For Sub-Frame 5,Bits,,,,N/A,,
For Sub-Frame 0,Bits,,,,1384,,
Number of Code Blocks per Sub-Frame(Note 3),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,,,,1,,
For Sub-Frame 5,,,,,N/A,,
For Sub-Frame 0,,,,,1,,
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,,13800,,
For Sub-Frame 5,Bits,,,,N/A,,
For Sub-Frame 0,Bits,,,,12960,,
Max. Throughput averaged over 1 frame,Mbps,,,,1.246,,
UE Category,,,,,≥ 1,,
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
