Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,2,2,2,2,2,2
Subcarriers per resource block,,12,12,12,12,12,12
Allocated subframes per Radio Frame,,8,9,9,9,9,9
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4
Number of HARQ Processes,Processes,8,8,8,8,8,8
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1000,1000,1000,1000,1000,1000
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0 (Note 3),Bits,N/A,1000,1000,1000,1000,1000
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,1,1,1,1,1,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,N/A,1,1,1,1,1
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1368,1512,1512,1656,1656,1656
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0 (Note 3),Bits,N/A,1512,1512,1656,1656,1656
Max. Throughput averaged over 1 frame,kbps,800,900,900,900,900,900
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW. 3 symbols allocated to PDCCH for 5 MHz and 3 MHz. 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211.Note 3:   For Sub-Frame 0, it is assumed that the allocated 2PRBs are scheduled on the RBs other than the center 6PRBs as most of the symbols are occupied by PBCH and synchronization signals.",,,,,,,
