Parameter,Unit,Value
Reference channel,,R.2 FS3
Channel bandwidth,MHz,20
Allocated resource blocks (Note 4),,100
Allocated subframes per Radio Frame,,10
Modulation,,16QAM
Target Coding Rate,,1/2
Information Bit Payload (Note 4),,
"For Sub-Frames 1,4,6,9",Bits,"{22920,7480,12960,19080,10296}"
"For Sub-Frames 2, 7",,"{22920,7480,12960,19080,10296}"
"For Sub-Frames 3, 8",,"{22920,7480,12960,19080,10296}"
For Sub-Frame 5,Bits,"{19848, 6712, 11448, 16992, 9144}"
For Sub-Frame 0,Bits,"{19848, 6712, 11448, 16992, 9144}"
Number of Code Blocks,,
(Notes 3 and 4),,
"For Sub-Frames 1,4,6,9",,"{4,2,3,4,2}"
"For Sub-Frames 2,7",,"{4,2,3,4,2}"
"For Sub-Frames 3, 8",,"{4, 2, 3, 4, 2}"
For Sub-Frame 5,,"{4, 2, 2, 3, 2}"
For Sub-Frame 0,,"{4, 2, 2, 3, 2}"
Binary Channel Bits (Note 4),,
"For Sub-Frames 1,4,6,9",Bits,"{48000,15200,25600,38400,20000}"
"For Sub-Frames 2, 7",,"{47200,15200,25600,38400,20000}"
"For Sub-Frames 3, 8",,"{46400,15200,25600,38400,20000}"
For Sub-Frame 5,Bits,"{42240,13376,22528,33792,17600}"
For Sub-Frame 0 (Note 5) (Note 6),Bits,"{42240,13376,22528,33792,17600}"
UE Category,,≥ 5
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2: Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4: Given per component carrier per codeword.Note 5: For TM9, 100 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 88 resource blocks (RB0-RB43,RB56-RB99) are allocated in subframe 0 and subframe 5Note 6:For {a1,a2,a3,a4,a5}, a1, a2, a3, a4 and a5 stand for the setup when the number of OFDM sybmols is 14, 6, 9, 12, 7, respectively",,
