Parameter,Unit,Value,,,,
Reference channel,,,R.74-1 FDD,R.74-2 FDD,R.74-3 FDD,R.101 FDD
Channel bandwidth,MHz,,5,15,20,10
Allocated resource blocks (Note 4),,,25,75,100,50
Allocated subframes per Radio Frame,,,9,9,9,9
Modulation,,,16QAM,16QAM,16QAM,1024QAM
Target Coding Rate,,,1/2,1/2,1/2,3/4
Information Bit Payload (Note 4),,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,11448,37888,51024,52752
For Sub-Frame 5,Bits,,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,,9912,37888,51024,N/A
Number of Code Blocks(Notes 3 and 4),,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,,2,7,9,9
For Sub-Frame 5,,,N/A,N/A,N/A,N/A
For Sub-Frame 0,,,2,7,9,N/A
Binary Channel Bits (Note 4),,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,23200,76800,102400,68000
For Sub-Frame 5,Bits,,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,,20128,73728,99328,N/A
Max. Throughput averaged over 1 frame (Note 4),Mbps,,10.1496,34.0992,45.9216,42.2016
UE Category,,,≥ 5,≥ 5,≥ 5,TBD
UE DL Category,,,,,,"20, ≥ 22"
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. 1 symbol allocated to PDCCH for reference channel with 1024QAM.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:Given per component carrier per codeword.",,,,,,
