Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,5,5,5,5,5,5
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Target Coding rate,,1/3,1/3,1/3,1/3,1/3,1/3
Payload size,Bits,872,872,872,872,872,872
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame,,1,1,1,1,1,1
Total number of bits per Sub-Frame,Bits,2880,2880,2880,2880,2880,2880
Total symbols per Sub-Frame,,720,720,720,720,720,720
UE Category,,M1,M1,M1,M1,M1,M1
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2:For HD-FDD UE, the uplink subframes are scheduled at the 4th, 5th and 6th subframes every 10ms for the channel bandwidth 5MHz/10MHz/15MHz/20MHz. For HD-FDD UE, the uplink subframes are scheduled at the 5th, 6th and 7th subframes every 10ms for the channel bandwidth 1.4MHz/3MHz. Information bit payload is available if uplink subframe is scheduled.",,,,,,,
