Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,,48,,96
Subcarriers per resource block,,,,,12,,12
Packets per period,,,,,1,,1
Modulation,,,,,16QAM,,16QAM
Target Coding Rate,,,,,2/3,,2/3
Transport Block Size,,,,,15840,,29296
Transport block CRC,Bits,,,,24,,24
Number of Code Blocks per Sub-Frame,,,,,3,,5
Maximum number of HARQ transmissions,,,,,1,,1
Binary Channel Bits per subframe,Bits,,,,23040,,46080
Max. Throughput averaged over 1 period of 100ms,kbps,,,,158.4,,292.96
"Note 1: 2RBs allocated to SA transmission and 4 symbols allocated to RS.Note 2: Throughput (in kbps) will depend on SA period configuration.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
