Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,Table A.2.2.2.2-1,,1.4 - 20,16QAM,3/4,1,,≥ 1,
FDD,Table A.2.2.2.2-1,,1.4 - 20,16QAM,3/4,2,,≥ 1,
FDD,Table A.2.2.2.2-1,,1.4 - 20,16QAM,3/4,3,,≥ 1,
FDD,Table A.2.2.2.2-1,,1.4 - 20,16QAM,3/4,4,,≥ 1,
FDD,Table A.2.2.2.2-1,,1.4 - 20,16QAM,3/4,5,,≥ 1,
FDD,Table A.2.2.2.2-1,,3 - 20,16QAM,3/4,6,,≥ 1,
FDD,Table A.2.2.2.2-1,,3 - 20,16QAM,3/4,8,,≥ 1,
FDD,Table A.2.2.2.2-1,,3 - 20,16QAM,3/4,9,,≥ 1,
FDD,Table A.2.2.2.2-1,,3 - 20,16QAM,3/4,10,,≥ 1,
FDD,Table A.2.2.2.2-1,,3 - 20,16QAM,3/4,12,,≥ 1,
FDD,Table A.2.2.2.2-1,,5 - 20,16QAM,1/2,15,,≥ 1,
FDD,Table A.2.2.2.2-1,,5 - 20,16QAM,1/2,16,,≥ 1,
FDD,Table A.2.2.2.2-1,,5 - 20,16QAM,1/2,18,,≥ 1,
FDD,Table A.2.2.2.2-1,,5 - 20,16QAM,1/3,20,,≥ 1,
FDD,Table A.2.2.2.2-1,,5 - 20,16QAM,1/3,24,,≥ 1,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,1/3,25,,≥ 1,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,1/3,27,,≥ 1,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,3/4,30,,≥ 2,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,3/4,32,,≥ 2,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,3/4,36,,≥ 2,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,3/4,40,,≥ 2,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,3/4,45,,≥ 2,
FDD,Table A.2.2.2.2-1,,10 - 20,16QAM,3/4,48,,≥ 2,
FDD,Table A.2.2.2.2-1,,15 - 20,16QAM,3/4,50,,≥ 2,
FDD,Table A.2.2.2.2-1,,15 - 20,16QAM,3/4,54,,≥ 2,
FDD,Table A.2.2.2.2-1,,15 - 20,16QAM,2/3,60,,≥ 2,
FDD,Table A.2.2.2.2-1,,15 - 20,16QAM,2/3,64,,≥ 2,
FDD,Table A.2.2.2.2-1,,15 - 20,16QAM,1/2,72,,≥ 2,
FDD,Table A.2.2.2.2-1,,20,16QAM,1/2,75,,≥ 2,
FDD,Table A.2.2.2.2-1,,20,16QAM,1/2,80,,≥ 2,
FDD,Table A.2.2.2.2-1,,20,16QAM,1/2,81,,≥ 2,
FDD,Table A.2.2.2.2-1,,20,16QAM,2/5,90,,≥ 2,
FDD,Table A.2.2.2.2-1,,20,16QAM,2/5,96,,≥ 2,
FDD / HD-FDD,Table A.2.2.2.2-1a,,1.4 - 20,16QAM,3/4,1,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.2.2-1a,,1.4 - 20,16QAM,3/4,2,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.2.2-1a,,1.4 - 20,16QAM,2/5,4,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.2.2-1b,,1.4 - 20,16QAM,3/4,1,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.2.2-1b,,1.4 - 20,16QAM,3/4,2,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.2.2-1b,,1.4 - 20,16QAM,2/5,4,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.2.2-1c,,1.4 - 20,16QAM,1/2,1,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,1.4 - 20,16QAM,1/2,2,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,1.4 - 20,16QAM,1/2,3,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,1.4 - 20,16QAM,1/2,4,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,1.4 - 20,16QAM,1/2,5,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,3 - 20,16QAM,1/2,6,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,3 - 20,16QAM,1/2,9,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,3 - 20,16QAM,1/2,12,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,5 - 20,16QAM,1/2,15,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,5 - 20,16QAM,1/2,18,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,5 - 20,16QAM,1/2,21,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.2.2-1c,,5 - 20,16QAM,1/2,24,,-,UE UL category M2
