Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Subcarriers per resource block,,12,12,12,12,12,12
Uplink-Downlink Configuration (Note 5),,1,1,1,1,1,1
Allocated subframes per Radio Frame,,2,3+2,3+2,3+2,3+2,3+2
Modulation,,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM
Target Coding Rate,,4/5,4/5,4/5,4/5,4/5,4/5
Number of HARQ Processes,Processes,7,7,7,7,7,7
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,4392,12216,19848,42368,63776,84760
"For Sub-Frames 1,6",Bits,N/A,10680,17568,36696,55056,75376
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,9912,17568,42368,63776,84760
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
"For Sub-Frames 4,9",,1,2,4,7,11,14
"For Sub-Frames 1,6",,N/A,2,3,6,9,13
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,N/A,2,3,7,11,14
Binary Channel Bits per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,5472,15120,25200,55200,82800,110400
"For Sub-Frames 1,6",,N/A,13104,22224,45024,67824,90624
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,12336,22416,52416,80016,107616
Max. Throughput averaged over 1 frame,kbps,878.4,5570.4,9240,20049.6,30144,40503.2
"Note 1:For normal subframes(0,4,5,9), 2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For special subframe (1&6), only 2 OFDM symbols are allocated to PDCCH for all BWs.Note 2:For 1.4MHz, no data shall be scheduled on special subframes(1&6) to avoid problems with insufficient PDCCH performance.Note 3:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:As per Table 4.2-2 in TS 36.211 [4].",,,,,,,
